Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z_trans(1),z(1),dc(1),likelihood,penalty,bic
P001,PRE,Fear,1.988182093,-0.086756126,1.41E-08,-2.522641711,0.074286076,7.087437092,-645.5010966,30.45104289,675.9521395
P002,PRE,Fear,0.676147269,3.153549815,0.208125885,-1.147852537,0.240881545,1.476180327,-518.2702041,30.45104289,548.7212469
P003,PRE,Fear,0.666580807,2.788528877,0.215571803,-0.87681804,0.293837593,2.419910082,-562.5921635,30.45104289,593.0432064
P004,PRE,Fear,0.823665891,1.818433757,0.141110909,-0.083677736,0.479092764,1.953296336,-598.292024,30.45104289,628.7430669
P005,PRE,Fear,0.756427018,3.964100152,0.204130745,-0.24625238,0.43874613,1.806618642,-500.6220662,30.45104289,531.0731091
P006,PRE,Fear,0.742975749,3.292916974,0.223598051,-0.739507205,0.323111914,2.105347452,-529.3514377,30.45104289,559.8024806
P007,PRE,Fear,0.747495926,4.361735162,0.22162598,-0.913165097,0.286352597,1.63785788,-506.0826894,30.45104289,536.5337323
P008,PRE,Fear,2.363074881,-0.368333498,0.000659239,-3.750629492,0.022963242,8.307326689,-556.4394433,30.45104289,586.8904862
P009,PRE,Fear,0.813053575,1.361486486,0.172627239,-1.087068852,0.252170634,2.420133565,-662.0297913,30.45104289,692.4808342
P010,PRE,Fear,0.834572419,2.186302875,0.186272413,-0.87889115,0.293407612,2.044645718,-607.4537896,30.45104289,637.9048325
P011,PRE,Fear,2.471001916,-0.085441249,0.003574582,-3.230193197,0.038045176,8.663008207,-623.1870271,30.45104289,653.63807
P012,PRE,Fear,0.659488118,3.372221801,0.207513047,-0.087869875,0.478046655,0.303795,-539.7139537,30.45104289,570.1649966
P013,PRE,Fear,0.664993014,3.669681839,0.224847938,-0.730066481,0.325180139,1.876905663,-536.8394522,30.45104289,567.290495
P014,PRE,Fear,0.777102555,4.105186054,0.227484425,-1.487065816,0.184362541,1.971260989,-529.0205475,30.45104289,559.4715904
P015,PRE,Fear,0.626416127,3.512130961,0.216324316,-0.816277929,0.306554323,0.694444345,-501.2622523,30.45104289,531.7132952
P016,PRE,Fear,0.760568152,2.623075416,0.168369886,-0.438492201,0.392100306,2.003669548,-561.459748,30.45104289,591.9107909
P017,PRE,Fear,0.662804449,1.857584519,0.204322216,-0.214461506,0.44658918,1.339047158,-615.9865392,30.45104289,646.4375821
P018,PRE,Fear,0.717573666,1.982543431,0.172525024,0.006390427,0.501597601,1.614994395,-603.3942605,30.45104289,633.8453033
P020,PRE,Fear,1.299556655,15.76527187,0.187873365,-1.787362523,0.14339639,-4.821097325,-433.8233378,30.45104289,464.2743807
