Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z(1),dc(1)
P001,Blank,Blank,0.903860758,4.61709459,0.193395309,0.306742584,-0.394938689
P002,Blank,Blank,0.915969748,4.516639359,0.19124625,0.301695059,-0.307690088
P003,Blank,Blank,0.970964267,4.802948541,0.183081291,0.266946361,-0.324344994
P004,Blank,Blank,0.897025877,4.942950457,0.195816956,0.324508704,-0.88989286
P005,Blank,Blank,0.896739385,5.159184628,0.19441086,0.317566398,-1.078086383
P006,Blank,Blank,0.897619021,4.824284613,0.195963562,0.319655986,-0.720020512
P007,Blank,Blank,0.903192128,4.437242198,0.193375519,0.30220535,-0.256542965
P008,Blank,Blank,0.935108909,4.432033256,0.188881127,0.287594768,-0.062122322
P009,Blank,Blank,0.896980739,4.806959972,0.19450806,0.319963739,-0.738462057
P010,Blank,Blank,0.901785141,4.762426062,0.194064017,0.315186433,-0.614222741
P011,Blank,Blank,0.90075576,4.814536137,0.194825774,0.318155173,-0.742300935
P012,Blank,Blank,0.872977925,4.902109695,0.199190869,0.341315102,-0.962851876
P013,Blank,Blank,0.925675789,4.656958298,0.190708279,0.292734146,-0.314422958
P014,Blank,Blank,0.924454645,4.81772019,0.190687569,0.294248994,-0.480936938
P015,Blank,Blank,0.910698687,4.855916307,0.192352948,0.304535236,-0.665647927
P016,Blank,Blank,0.959776753,4.666218886,0.185922763,0.276669696,-0.149498916
P017,Blank,Blank,0.905682461,4.913963609,0.194794575,0.31479751,-0.737653251
P018,Blank,Blank,0.963539536,4.49717042,0.184566184,0.27267424,-0.017707155
P020,Blank,Blank,0.894882442,4.890894045,0.195163754,0.315557163,-0.78040274
P021,Blank,Blank,0.866264056,4.937560743,0.199663525,0.342131531,-1.053580737
P022,Blank,Blank,0.993357309,4.514928107,0.180456023,0.258135898,0.08941052
P023,Blank,Blank,0.878873186,5.075507277,0.198011621,0.332950499,-1.075188196
P024,Blank,Blank,0.935521881,4.558545668,0.189508093,0.282096651,-0.119548612
P025,Blank,Blank,1.018239974,4.406147802,0.177660366,0.239309501,0.386082888
P026,Blank,Blank,0.997134411,4.438685769,0.180904762,0.252800439,0.256253639
P027,Blank,Blank,0.9132108,4.882041089,0.192117179,0.305454255,-0.646856415
P028,Blank,Blank,1.014964569,4.510956126,0.178084771,0.247294038,0.170415084
P029,Blank,Blank,0.937283138,4.643087568,0.187979482,0.284112977,-0.294269213
P030,Blank,Blank,0.879341086,5.002541913,0.198176243,0.336488339,-1.033752077
P031,Blank,Blank,0.920771791,4.841808095,0.191515448,0.300072806,-0.546063326
P032,Blank,Blank,1.00991812,4.379870084,0.178356934,0.245738363,0.344774141
P033,Blank,Blank,0.924004353,4.658030015,0.191169727,0.299245143,-0.404113184
P034,Blank,Blank,0.866639324,4.922611547,0.19962849,0.341819074,-1.03544824
P035,Blank,Blank,0.960131256,4.719635281,0.185854914,0.271227306,-0.197008666
P036,Blank,Blank,0.902908313,4.939526713,0.193901567,0.320415394,-0.859025109
P037,Blank,Blank,0.873798174,5.192952921,0.199490853,0.343926051,-1.240403423
P038,Blank,Blank,0.966753162,4.452209996,0.185316679,0.271352733,0.08168574
P039,Blank,Blank,0.8895737,5.096550034,0.196305187,0.323266554,-1.034681759
P040,Blank,Blank,0.905385314,4.980053009,0.194099546,0.31386269,-0.775373141
P041,Blank,Blank,0.90423492,4.674704531,0.19263579,0.314576775,-0.599580553
P042,Blank,Blank,0.941712751,4.554659911,0.18777931,0.281153304,-0.116413682
P043,Blank,Blank,0.95996139,5.240081008,0.186943407,0.270969213,-0.669457283
P044,Blank,Blank,0.898318559,4.611110124,0.194776405,0.321122939,-0.503605817
P045,Blank,Blank,0.972784107,4.462615628,0.182093346,0.263077015,0.07516635
P046,Blank,Blank,1.208345188,4.350121845,0.154841001,0.176378844,1.153235728
P047,Blank,Blank,0.975235995,4.582775414,0.18186731,0.269370358,-0.139292653
P048,Blank,Blank,0.883952175,4.893814277,0.196900041,0.32738036,-0.847815704
P049,Blank,Blank,0.989080317,4.483350075,0.180720676,0.257607907,0.115810083
P050,Blank,Blank,0.974473248,4.498562484,0.181884254,0.26971378,-0.051688322
P051,Blank,Blank,1.067038726,4.484503069,0.171754087,0.221746995,0.486272628
P052,Blank,Blank,0.952183144,4.417824337,0.185979964,0.276710446,-0.019135766
P053,Blank,Blank,0.923281908,4.360932963,0.190042117,0.294263432,-0.097578415
P054,Blank,Blank,0.984195222,4.499047221,0.181294928,0.263683347,0.03278901
P001,Blank,Blank,0.966718781,4.500076845,0.184690695,0.270175185,0.056142587
P002,Blank,Blank,0.932080955,4.699857272,0.189864528,0.299875165,-0.414562456
P003,Blank,Blank,0.953252444,4.652074177,0.184859214,0.284975528,-0.349009219
P004,Blank,Blank,0.892815582,5.063232247,0.196382565,0.32925023,-1.029699269
P005,Blank,Blank,0.891074274,4.82308839,0.195692469,0.330452617,-0.806878532
P006,Blank,Blank,0.88666959,5.061423188,0.197310622,0.331738174,-1.037025369
P007,Blank,Blank,0.913097573,4.945375367,0.19264201,0.310933697,-0.810320885
P008,Blank,Blank,0.902497001,4.894397046,0.194529762,0.320213972,-0.794607681
P009,Blank,Blank,0.957909818,4.70699264,0.186213352,0.272468141,-0.183254368
P010,Blank,Blank,0.985487191,4.645293416,0.181112365,0.258757109,-0.018290589
P011,Blank,Blank,0.925647046,4.771558271,0.191121576,0.295738261,-0.428731544
