Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z(1),dc(1)
P001,Blank,Blank,1.222377305,4.18781837,0.113332179,0.186413786,1.109890516
P002,Blank,Blank,1.150330128,4.320297629,0.144089658,0.202323966,0.812415074
P003,Blank,Blank,1.691657335,3.847746045,0.075511441,0.126715002,1.793189391
P004,Blank,Blank,1.233668302,4.400639391,0.127938009,0.182652137,0.772251884
P005,Blank,Blank,1.340310361,3.921532921,0.111947761,0.162889825,1.304713365
P006,Blank,Blank,1.29373187,3.932290034,0.114778702,0.171611172,1.042353458
P007,Blank,Blank,2.244530996,12.73380904,1.54E-05,0.081350979,-6.277234429
P008,Blank,Blank,1.345993242,4.146068676,0.128488113,0.162349624,1.225301926
P009,Blank,Blank,0.968764178,4.951279168,0.179236293,0.302729663,-0.798297564
P010,Blank,Blank,1.54790729,3.889408387,0.103669124,0.137794078,1.642101606
P011,Blank,Blank,0.914953217,5.028305845,0.203930307,0.276232209,-0.832285273
P012,Blank,Blank,1.240007755,4.634684586,0.117407277,0.19861554,0.408485326
P013,Blank,Blank,1.176763316,4.20692319,0.131718342,0.193292613,0.84937948
P014,Blank,Blank,1.086312283,4.39549949,0.172064371,0.237802649,0.586682816
P015,Blank,Blank,1.115948623,4.198949792,0.15282896,0.189719595,0.769835742
P016,Blank,Blank,1.362436044,4.074322754,0.110177427,0.166944045,1.406207493
P017,Blank,Blank,1.635543335,4.068012866,0.074146489,0.122895094,1.826755626
P018,Blank,Blank,1.319991872,4.083201868,0.11775873,0.173485027,1.084537703
P020,Blank,Blank,1.072667419,4.454807325,0.144901665,0.212912943,0.260276704
P021,Blank,Blank,1.709781002,4.221842971,0.08759589,0.108736121,1.913763354
P022,Blank,Blank,1.420449014,4.075483674,0.126515338,0.150698967,1.432638239
P023,Blank,Blank,1.161157217,4.246444839,0.145953454,0.218969795,0.667588475
P024,Blank,Blank,1.17528964,4.290690582,0.117601833,0.190477292,0.842781003
P025,Blank,Blank,1.219101867,4.140291332,0.151443425,0.190457479,0.909455182
P026,Blank,Blank,1.212551847,4.388928078,0.135722887,0.225407685,0.508085525
P027,Blank,Blank,1.459627418,3.859526307,0.086336235,0.167241616,1.233078924
P028,Blank,Blank,1.328361014,3.980104432,0.104071268,0.16087545,1.192015628
P029,Blank,Blank,1.410512504,4.119953442,0.130049354,0.142034599,1.402950237
P030,Blank,Blank,1.212746401,4.299070544,0.121082328,0.191839678,0.981100696
P031,Blank,Blank,1.542973205,3.974859117,0.093007642,0.136766561,1.641482034
P032,Blank,Blank,0.956337294,4.728687003,0.189482939,0.30229325,-0.560826976
P033,Blank,Blank,1.321649988,4.011699832,0.147143942,0.158170439,1.303991852
P034,Blank,Blank,1.26300458,4.092002851,0.153245753,0.178230097,1.131908505
P035,Blank,Blank,2.451426727,6.999578059,5.56E-05,0.081749378,-0.397909213
P036,Blank,Blank,1.146760527,4.196224371,0.178203954,0.218924335,0.740707856
P037,Blank,Blank,1.168629861,4.234002519,0.14545292,0.220626275,0.781628231
P038,Blank,Blank,1.319811157,4.188835998,0.114779524,0.180012383,1.16370864
P039,Blank,Blank,1.379610953,3.946131358,0.13342869,0.163753737,1.44974803
P040,Blank,Blank,1.153760026,4.172079774,0.166440312,0.193952802,0.706822584
P041,Blank,Blank,1.416525677,4.134027093,0.141751026,0.150758673,1.480482783
P042,Blank,Blank,0.939354569,4.839874363,0.186439001,0.291718773,-0.471772107
P043,Blank,Blank,1.521624484,3.950118035,0.10645483,0.1293805,1.682800085
P044,Blank,Blank,1.432392407,4.085897736,0.123750623,0.138131236,1.475628432
P045,Blank,Blank,1.750918464,3.881495419,0.057640112,0.102398886,1.902075881
P046,Blank,Blank,1.739903295,3.804331655,0.088254245,0.11935389,1.808494269
P047,Blank,Blank,1.192077014,4.119420691,0.135985075,0.194421065,0.889003021
P048,Blank,Blank,1.485411097,4.062576179,0.110622122,0.129800933,1.48183764
P049,Blank,Blank,0.911494615,4.886408437,0.196382212,0.310428629,-0.709593672
P050,Blank,Blank,1.366528468,4.132266642,0.134287637,0.140600452,1.428994459
P051,Blank,Blank,1.50433015,3.782699917,0.08773765,0.131114272,1.556257617
P052,Blank,Blank,1.642603306,3.98226808,0.090149733,0.12940361,1.856863341
P053,Blank,Blank,1.037978369,4.810081169,0.168245527,0.263415695,-0.226220656
P054,Blank,Blank,1.10010823,4.81423684,0.148585358,0.223977664,-0.355969621
P001,Blank,Blank,1.588499728,3.997080544,0.074769719,0.125756174,1.682428426
P002,Blank,Blank,0.898276541,4.907238696,0.195700824,0.325447628,-1.034062137
P003,Blank,Blank,1.304879389,4.112837149,0.135036336,0.17904639,1.089320875
P004,Blank,Blank,1.001876901,4.843819783,0.145036136,0.257808604,-0.481780827
P005,Blank,Blank,1.237810923,4.135607446,0.142691115,0.174037809,1.081777047
P006,Blank,Blank,1.298416648,4.177451651,0.142101685,0.184023964,1.051063133
