,rt,response,subj_idx,condition,correct,stimulus
1,0.29977,1,1,1,1,1
2,0.2612749,1,1,1,1,1
3,0.2372466,1,1,1,1,1
4,0.265974,1,1,1,1,1
5,0.2718247,1,1,1,1,1
6,0.2695289,1,1,1,1,1
7,0.2561376,1,1,1,1,1
8,0.3438115,1,1,1,1,1
9,0.2507406,1,1,1,1,1
10,0.2650929,1,1,1,1,1
11,0.2486947,1,1,1,1,1
12,0.3501921,1,1,1,1,1
13,0.2608912,1,1,1,1,1
14,0.2731259,1,1,1,1,1
15,0.2783392,1,1,1,1,1
16,0.278331,1,1,1,1,1
17,0.2743395,1,1,1,1,1
18,0.3218551,1,1,1,1,1
19,0.2764488,1,1,1,1,1
20,0.2630927,1,1,1,1,1
21,NA,0,1,1,0,1
22,0.2919003,1,1,1,1,1
23,0.2994587,1,1,1,1,1
24,0.3030305,1,1,1,1,1
25,0.3556223,1,1,1,1,1
26,0.302856,1,1,1,1,1
27,0.2605199,1,1,1,1,1
28,0.3011403,1,1,1,1,1
29,0.2702277,1,1,1,1,1
30,0.3177323,1,1,1,1,1
31,0.2723743,1,1,1,1,1
32,0.2140959,1,1,1,1,1
33,0.277741,1,1,1,1,1
34,0.32247,1,1,1,1,1
35,0.306499,1,1,1,1,1
36,0.2953842,1,1,1,1,1
37,0.2518751,1,1,1,1,1
38,0.2620219,1,1,1,1,1
39,0.2657617,1,1,1,1,1
40,0.2961451,1,1,1,1,1
41,0.2449151,1,1,1,1,1
42,0.3179536,1,1,1,1,1
43,0.3739016,1,1,1,1,1
44,0.3199135,1,1,1,1,1
45,0.382719,1,1,1,1,1
46,0.30054,1,1,1,1,1
47,0.2596754,1,1,1,1,1
48,0.2464758,1,1,1,1,1
49,NA,0,1,1,0,1
50,0.253817,1,1,1,1,1
51,0.3717635,1,1,1,1,1
52,0.2876582,1,1,1,1,1
53,0.3114152,1,1,1,1,1
54,0.284751,1,1,1,1,1
55,0.3084652,1,1,1,1,1
56,0.2727502,1,1,1,1,1
57,0.2795704,1,1,1,1,1
58,0.2421594,1,1,1,1,1
59,0.3334462,1,1,1,1,1
60,0.3522747,1,1,1,1,1
61,NA,0,1,1,1,0
62,NA,0,1,1,1,0
63,NA,0,1,1,1,0
64,NA,0,1,1,1,0
65,NA,0,1,1,1,0
66,NA,0,1,1,1,0
67,NA,0,1,1,1,0
68,0.2231922,1,1,1,0,0
69,NA,0,1,1,1,0
70,NA,0,1,1,1,0
71,NA,0,1,1,1,0
72,0.2512659,1,1,1,0,0
73,NA,0,1,1,1,0
74,NA,0,1,1,1,0
75,NA,0,1,1,1,0
76,NA,0,1,1,1,0
77,NA,0,1,1,1,0
78,NA,0,1,1,1,0
79,NA,0,1,1,1,0
80,NA,0,1,1,1,0
81,0.2731665,1,1,1,1,1
82,0.3027169,1,1,1,1,1
83,0.3333727,1,1,1,1,1
84,0.2695825,1,1,1,1,1
85,0.2791481,1,1,1,1,1
86,0.2981577,1,1,1,1,1
87,0.2316851,1,1,1,1,1
88,0.2727968,1,1,1,1,1
89,0.2524652,1,1,1,1,1
90,0.2558728,1,1,1,1,1
91,0.2916305,1,1,1,1,1
92,0.2588438,1,1,1,1,1
93,0.2735432,1,1,1,1,1
94,0.2736381,1,1,1,1,1
95,0.3600856,1,1,1,1,1
96,0.2594414,1,1,1,1,1
97,0.2508147,1,1,1,1,1
98,0.2662846,1,1,1,1,1
99,0.3373285,1,1,1,1,1
100,0.2531636,1,1,1,1,1
101,0.259206,1,1,1,1,1
102,0.2762799,1,1,1,1,1
103,0.3020226,1,1,1,1,1
104,0.2703874,1,1,1,1,1
105,0.2267083,1,1,1,1,1
106,0.2761262,1,1,1,1,1
107,0.2715585,1,1,1,1,1
108,0.2569548,1,1,1,1,1
109,NA,0,1,1,0,1
110,0.2501788,1,1,1,1,1
111,0.2623455,1,1,1,1,1
112,0.3641978,1,1,1,1,1
113,0.266437,1,1,1,1,1
114,0.2560361,1,1,1,1,1
115,0.2731212,1,1,1,1,1
116,0.2829116,1,1,1,1,1
117,0.2696597,1,1,1,1,1
118,0.3126039,1,1,1,1,1
119,0.2695154,1,1,1,1,1
120,0.2662171,1,1,1,1,1
121,0.2653861,1,1,1,1,1
122,0.2772007,1,1,1,1,1
123,0.3262446,1,1,1,1,1
124,0.2599107,1,1,1,1,1
125,0.2736375,1,1,1,1,1
126,0.330917,1,1,1,1,1
127,0.2596676,1,1,1,1,1
128,0.3017,1,1,1,1,1
129,0.2812763,1,1,1,1,1
130,0.2626987,1,1,1,1,1
131,0.296513,1,1,1,1,1
132,0.3634417,1,1,1,1,1
133,0.3114604,1,1,1,1,1
134,0.2467271,1,1,1,1,1
135,0.2609313,1,1,1,1,1
136,0.3147136,1,1,1,1,1
137,0.2500331,1,1,1,1,1
138,NA,0,1,1,0,1
139,0.2494732,1,1,1,1,1
140,0.2677472,1,1,1,1,1
141,0.2613362,1,1,1,0,0
142,0.2529588,1,1,1,0,0
143,NA,0,1,1,1,0
144,NA,0,1,1,1,0
145,NA,0,1,1,1,0
146,NA,0,1,1,1,0
147,NA,0,1,1,1,0
148,NA,0,1,1,1,0
149,0.2523318,1,1,1,0,0
150,NA,0,1,1,1,0
151,NA,0,1,1,1,0
152,NA,0,1,1,1,0
153,NA,0,1,1,1,0
154,NA,0,1,1,1,0
155,NA,0,1,1,1,0
156,NA,0,1,1,1,0
157,NA,0,1,1,1,0
158,NA,0,1,1,1,0
159,NA,0,1,1,1,0
160,NA,0,1,1,1,0
161,NA,0,13,1,0,1
162,0.2349401,1,13,1,1,1
163,0.3513486,1,13,1,1,1
164,0.3581572,1,13,1,1,1
165,0.289526,1,13,1,1,1
166,0.3195157,1,13,1,1,1
167,0.2761672,1,13,1,1,1
168,0.2680732,1,13,1,1,1
169,0.3057596,1,13,1,1,1
170,0.2678813,1,13,1,1,1
171,0.2360146,1,13,1,1,1
172,0.2975357,1,13,1,1,1
173,0.2870544,1,13,1,1,1
174,0.2677101,1,13,1,1,1
175,0.2506419,1,13,1,1,1
176,0.2423861,1,13,1,1,1
177,0.2504446,1,13,1,1,1
178,NA,0,13,1,0,1
179,0.2430541,1,13,1,1,1
180,0.2311979,1,13,1,1,1
181,0.2822677,1,13,1,1,1
182,0.2496155,1,13,1,1,1
183,0.2424597,1,13,1,1,1
184,0.2358952,1,13,1,1,1
185,0.2358873,1,13,1,1,1
186,0.3151432,1,13,1,1,1
187,0.2634088,1,13,1,1,1
188,0.278712,1,13,1,1,1
189,0.2753243,1,13,1,1,1
190,0.2826675,1,13,1,1,1
191,0.2428933,1,13,1,1,1
192,0.2824731,1,13,1,1,1
193,0.2798841,1,13,1,1,1
194,0.2566036,1,13,1,1,1
195,0.265101,1,13,1,1,1
196,0.2847711,1,13,1,1,1
197,0.291065,1,13,1,1,1
198,0.2475106,1,13,1,1,1
199,0.2857335,1,13,1,1,1
200,0.2990812,1,13,1,1,1
201,0.2994378,1,13,1,1,1
202,0.2409454,1,13,1,1,1
203,0.2904286,1,13,1,1,1
204,0.3061294,1,13,1,1,1
205,0.2863492,1,13,1,1,1
206,0.2776684,1,13,1,1,1
207,0.2465349,1,13,1,1,1
208,0.2884198,1,13,1,1,1
209,0.3524992,1,13,1,1,1
210,0.2731536,1,13,1,1,1
211,NA,0,13,1,0,1
212,0.2668477,1,13,1,1,1
213,0.2558139,1,13,1,1,1
214,0.24444,1,13,1,1,1
215,0.2577557,1,13,1,1,1
216,0.2475872,1,13,1,1,1
217,0.2092352,1,13,1,1,1
218,0.347393,1,13,1,1,1
219,0.2803098,1,13,1,1,1
220,0.2388276,1,13,1,1,1
221,NA,0,13,1,1,0
222,NA,0,13,1,1,0
223,0.2469941,1,13,1,0,0
224,NA,0,13,1,1,0
225,0.2665545,1,13,1,0,0
226,NA,0,13,1,1,0
227,NA,0,13,1,1,0
228,NA,0,13,1,1,0
229,NA,0,13,1,1,0
230,NA,0,13,1,1,0
231,NA,0,13,1,1,0
232,NA,0,13,1,1,0
233,0.2650835,1,13,1,0,0
234,NA,0,13,1,1,0
235,NA,0,13,1,1,0
236,NA,0,13,1,1,0
237,NA,0,13,1,1,0
238,NA,0,13,1,1,0
239,NA,0,13,1,1,0
240,NA,0,13,1,1,0
241,NA,0,13,1,0,1
242,0.3166115,1,13,1,1,1
243,0.2881022,1,13,1,1,1
244,0.2679705,1,13,1,1,1
245,0.3166051,1,13,1,1,1
246,0.2794081,1,13,1,1,1
247,0.2771922,1,13,1,1,1
248,0.2698167,1,13,1,1,1
249,0.2496241,1,13,1,1,1
250,0.2822303,1,13,1,1,1
251,0.3174724,1,13,1,1,1
252,0.252802,1,13,1,1,1
253,0.233835,1,13,1,1,1
254,0.2830652,1,13,1,1,1
255,0.3589712,1,13,1,1,1
256,0.3094548,1,13,1,1,1
257,0.2356661,1,13,1,1,1
258,0.2558003,1,13,1,1,1
259,0.2367746,1,13,1,1,1
260,0.2485301,1,13,1,1,1
261,0.1122292,1,13,1,1,1
262,0.2869242,1,13,1,1,1
263,0.360227,1,13,1,1,1
264,0.2956751,1,13,1,1,1
265,0.3603949,1,13,1,1,1
266,0.2573842,1,13,1,1,1
267,0.2682721,1,13,1,1,1
268,0.2885218,1,13,1,1,1
269,0.2869464,1,13,1,1,1
270,0.2884693,1,13,1,1,1
271,0.2458175,1,13,1,1,1
272,0.2821126,1,13,1,1,1
273,0.2553209,1,13,1,1,1
274,NA,0,13,1,0,1
275,0.3092221,1,13,1,1,1
276,0.2959609,1,13,1,1,1
277,0.2484134,1,13,1,1,1
278,NA,0,13,1,0,1
279,0.237455,1,13,1,1,1
280,0.2536385,1,13,1,1,1
281,0.285173,1,13,1,1,1
282,NA,0,13,1,0,1
283,0.3026736,1,13,1,1,1
284,0.3340886,1,13,1,1,1
285,0.3486073,1,13,1,1,1
286,0.3457112,1,13,1,1,1
287,0.2654347,1,13,1,1,1
288,0.305938,1,13,1,1,1
289,0.3241378,1,13,1,1,1
290,0.3845159,1,13,1,1,1
291,0.3427544,1,13,1,1,1
292,NA,0,13,1,0,1
293,0.252384,1,13,1,1,1
294,0.2726623,1,13,1,1,1
295,0.2476947,1,13,1,1,1
296,NA,0,13,1,0,1
297,0.2860132,1,13,1,1,1
298,0.338902,1,13,1,1,1
299,0.3694476,1,13,1,1,1
300,0.3207942,1,13,1,1,1
301,NA,0,13,1,1,0
302,NA,0,13,1,1,0
303,NA,0,13,1,1,0
304,NA,0,13,1,1,0
305,NA,0,13,1,1,0
