,rt,response,subj_idx,condition,correct,stimulus
1,0.2445001,1,1,1,1,1
2,0.2895497,1,1,1,1,1
3,0.2564939,1,1,1,1,1
4,0.2506879,1,1,1,1,1
5,0.240195,1,1,1,1,1
6,0.2561985,1,1,1,1,1
7,0.2742461,1,1,1,1,1
8,0.2457611,1,1,1,1,1
9,NA,0,1,1,0,1
10,0.3263708,1,1,1,1,1
11,0.2392965,1,1,1,1,1
12,0.2726431,1,1,1,1,1
13,0.2186336,1,1,1,1,1
14,0.2246136,1,1,1,1,1
15,0.3604011,1,1,1,1,1
16,0.3440648,1,1,1,1,1
17,NA,0,1,1,0,1
18,0.2179662,1,1,1,1,1
19,0.276236,1,1,1,1,1
20,0.2165857,1,1,1,1,1
21,0.2480865,1,1,1,1,1
22,0.2527277,1,1,1,1,1
23,0.2531938,1,1,1,1,1
24,0.2732195,1,1,1,1,1
25,0.2803001,1,1,1,1,1
26,0.2834284,1,1,1,1,1
27,0.2343029,1,1,1,1,1
28,0.2676592,1,1,1,1,1
29,0.2345911,1,1,1,1,1
30,0.2407818,1,1,1,1,1
31,0.3027027,1,1,1,1,1
32,0.2874847,1,1,1,1,1
33,0.2783379,1,1,1,1,1
34,0.2704124,1,1,1,1,1
35,0.173522,1,1,1,1,1
36,0.2208244,1,1,1,1,1
37,0.2133549,1,1,1,1,1
38,0.1634482,1,1,1,1,1
39,0.279795,1,1,1,1,1
40,0.3213206,1,1,1,1,1
41,0.1485557,1,1,1,1,1
42,NA,0,1,1,0,1
43,0.3236106,1,1,1,1,1
44,0.3028392,1,1,1,1,1
45,0.2951994,1,1,1,1,1
46,0.2863405,1,1,1,1,1
47,0.2601845,1,1,1,1,1
48,0.2646781,1,1,1,1,1
49,0.2330397,1,1,1,1,1
50,0.3798043,1,1,1,1,1
51,0.3381925,1,1,1,1,1
52,0.2303357,1,1,1,1,1
53,0.2323673,1,1,1,1,1
54,0.3374358,1,1,1,1,1
55,0.1908114,1,1,1,1,1
56,0.2682116,1,1,1,1,1
57,0.2134494,1,1,1,1,1
58,0.2792863,1,1,1,1,1
59,0.2088125,1,1,1,1,1
60,0.3167965,1,1,1,1,1
61,0.2476768,1,1,1,0,0
62,0.2233617,1,1,1,0,0
63,0.2197343,1,1,1,0,0
64,0.2439093,1,1,1,0,0
65,NA,0,1,1,1,0
66,NA,0,1,1,1,0
67,NA,0,1,1,1,0
68,0.144218,1,1,1,0,0
69,0.2666127,1,1,1,0,0
70,NA,0,1,1,1,0
71,0.223789,1,1,1,0,0
72,0.279635,1,1,1,0,0
73,0.2990077,1,1,1,0,0
74,NA,0,1,1,1,0
75,0.282171,1,1,1,0,0
76,NA,0,1,1,1,0
77,0.2557691,1,1,1,0,0
78,NA,0,1,1,1,0
79,0.2935581,1,1,1,0,0
80,0.2357079,1,1,1,0,0
81,0.2849261,1,1,1,1,1
82,0.2814244,1,1,1,1,1
83,0.2309295,1,1,1,1,1
84,0.2876194,1,1,1,1,1
85,0.2766971,1,1,1,1,1
86,0.177005,1,1,1,1,1
87,0.2136185,1,1,1,1,1
88,0.2561611,1,1,1,1,1
89,0.2397212,1,1,1,1,1
90,0.2464497,1,1,1,1,1
91,NA,0,1,1,0,1
92,0.2072657,1,1,1,1,1
93,0.2947114,1,1,1,1,1
94,0.1436096,1,1,1,1,1
95,0.1272896,1,1,1,1,1
96,0.2649964,1,1,1,1,1
97,0.1641276,1,1,1,1,1
98,0.2515719,1,1,1,1,1
99,0.14393,1,1,1,1,1
100,0.1543345,1,1,1,1,1
101,0.1691315,1,1,1,1,1
102,0.2693613,1,1,1,1,1
103,NA,0,1,1,0,1
104,0.2446271,1,1,1,1,1
105,0.2563562,1,1,1,1,1
106,0.162632,1,1,1,1,1
107,NA,0,1,1,0,1
108,0.3361332,1,1,1,1,1
109,0.2094703,1,1,1,1,1
110,0.2348893,1,1,1,1,1
111,0.33349,1,1,1,1,1
112,0.3144561,1,1,1,1,1
113,0.2125369,1,1,1,1,1
114,0.159785,1,1,1,1,1
115,0.3008169,1,1,1,1,1
116,0.3174129,1,1,1,1,1
117,0.311743,1,1,1,1,1
118,0.3549164,1,1,1,1,1
119,0.3256767,1,1,1,1,1
120,0.3082556,1,1,1,1,1
121,0.351203,1,1,1,1,1
122,0.26586,1,1,1,1,1
123,NA,0,1,1,0,1
124,0.2689335,1,1,1,1,1
125,0.2685211,1,1,1,1,1
126,0.3219655,1,1,1,1,1
127,0.3038526,1,1,1,1,1
128,0.2538715,1,1,1,1,1
129,0.3518015,1,1,1,1,1
130,0.2650857,1,1,1,1,1
131,0.2742899,1,1,1,1,1
132,NA,0,1,1,0,1
133,0.2361428,1,1,1,1,1
134,0.3235655,1,1,1,1,1
135,0.2533405,1,1,1,1,1
136,0.2315496,1,1,1,1,1
137,0.083296,1,1,1,1,1
138,0.365871,1,1,1,1,1
139,0.2212412,1,1,1,1,1
140,0.3060523,1,1,1,1,1
141,NA,0,1,1,1,0
142,0.1943027,1,1,1,0,0
143,0.1456209,1,1,1,0,0
144,0.291026,1,1,1,0,0
145,NA,0,1,1,1,0
146,NA,0,1,1,1,0
147,NA,0,1,1,1,0
148,0.2735628,1,1,1,0,0
149,0.2015949,1,1,1,0,0
150,NA,0,1,1,1,0
151,0.3381679,1,1,1,0,0
152,0.2756708,1,1,1,0,0
153,0.1178626,1,1,1,0,0
154,0.0874207,1,1,1,0,0
155,0.1816117,1,1,1,0,0
156,0.2269146,1,1,1,0,0
157,0.2090766,1,1,1,0,0
158,0.3089387,1,1,1,0,0
159,0.0998784,1,1,1,0,0
160,NA,0,1,1,1,0
161,NA,0,2,1,0,1
162,0.2947162,1,2,1,1,1
163,0.2826737,1,2,1,1,1
164,0.3335525,1,2,1,1,1
165,0.2927281,1,2,1,1,1
166,0.2885594,1,2,1,1,1
167,0.2663574,1,2,1,1,1
168,0.2737777,1,2,1,1,1
169,0.3277069,1,2,1,1,1
170,0.2764936,1,2,1,1,1
171,0.1860607,1,2,1,1,1
172,NA,0,2,1,0,1
173,0.2498333,1,2,1,1,1
174,0.2992042,1,2,1,1,1
175,0.3067352,1,2,1,1,1
176,0.3777718,1,2,1,1,1
177,0.2987346,1,2,1,1,1
178,0.2554647,1,2,1,1,1
