,rt,response,subj_idx,condition,correct,stimulus
1,NA,0,1,0,1,0
2,NA,0,1,0,1,0
3,NA,0,1,0,1,0
4,NA,0,1,0,1,0
5,NA,0,1,0,1,0
6,NA,0,1,0,1,0
7,NA,0,1,0,1,0
8,0.2204443,1,1,0,0,0
9,NA,0,1,0,1,0
10,NA,0,1,0,1,0
11,0.2179382,1,1,0,0,0
12,NA,0,1,0,1,0
13,0.2363522,1,1,0,0,0
14,0.2805492,1,1,0,0,0
15,NA,0,1,0,1,0
16,NA,0,1,0,1,0
17,NA,0,1,0,1,0
18,NA,0,1,0,1,0
19,0.2394946,1,1,0,0,0
20,NA,0,1,0,1,0
21,0.2961532,1,1,0,1,1
22,0.2674198,1,1,0,1,1
23,0.234478,1,1,0,1,1
24,0.2546344,1,1,0,1,1
25,0.2904474,1,1,0,1,1
26,0.3770803,1,1,0,1,1
27,0.2962343,1,1,0,1,1
28,0.2691937,1,1,0,1,1
29,0.2663273,1,1,0,1,1
30,0.2913938,1,1,0,1,1
31,0.2448875,1,1,0,1,1
32,0.2962591,1,1,0,1,1
33,0.2549815,1,1,0,1,1
34,0.2501484,1,1,0,1,1
35,0.2591674,1,1,0,1,1
36,0.2582569,1,1,0,1,1
37,0.2561721,1,1,0,1,1
38,0.2532206,1,1,0,1,1
39,0.2609435,1,1,0,1,1
40,0.2787771,1,1,0,1,1
41,0.2765144,1,1,0,1,1
42,0.2534596,1,1,0,1,1
43,0.1928203,1,1,0,1,1
44,NA,0,1,0,0,1
45,0.3224788,1,1,0,1,1
46,0.2441889,1,1,0,1,1
47,0.2499874,1,1,0,1,1
48,0.3249224,1,1,0,1,1
49,0.2708803,1,1,0,1,1
50,0.284426,1,1,0,1,1
51,0.3028493,1,1,0,1,1
52,0.3039086,1,1,0,1,1
53,0.3048993,1,1,0,1,1
54,0.262148,1,1,0,1,1
55,0.2523112,1,1,0,1,1
56,0.3011783,1,1,0,1,1
57,0.3408908,1,1,0,1,1
58,NA,0,1,0,0,1
59,0.3066473,1,1,0,1,1
60,0.2773713,1,1,0,1,1
61,0.3796023,1,1,0,1,1
62,NA,0,1,0,0,1
63,0.2591366,1,1,0,1,1
64,0.3144627,1,1,0,1,1
65,0.3284988,1,1,0,1,1
66,0.1879387,1,1,0,1,1
67,0.2421814,1,1,0,1,1
68,0.2577606,1,1,0,1,1
69,NA,0,1,0,0,1
70,NA,0,1,0,0,1
71,0.2384497,1,1,0,1,1
72,NA,0,1,0,0,1
73,0.2420624,1,1,0,1,1
74,0.275554,1,1,0,1,1
75,0.2754287,1,1,0,1,1
76,0.2806806,1,1,0,1,1
77,0.3170085,1,1,0,1,1
78,0.2743462,1,1,0,1,1
79,0.2563099,1,1,0,1,1
80,NA,0,1,0,0,1
81,NA,0,1,0,1,0
82,0.238583,1,1,0,0,0
83,0.2446965,1,1,0,0,0
84,NA,0,1,0,1,0
85,NA,0,1,0,1,0
86,NA,0,1,0,1,0
87,NA,0,1,0,1,0
88,NA,0,1,0,1,0
89,NA,0,1,0,1,0
90,NA,0,1,0,1,0
91,NA,0,1,0,1,0
92,NA,0,1,0,1,0
93,0.2982837,1,1,0,0,0
94,NA,0,1,0,1,0
95,0.2681702,1,1,0,0,0
96,NA,0,1,0,1,0
97,NA,0,1,0,1,0
98,NA,0,1,0,1,0
99,NA,0,1,0,1,0
100,NA,0,1,0,1,0
101,0.293989,1,1,0,1,1
102,0.2767191,1,1,0,1,1
103,0.2406527,1,1,0,1,1
104,NA,0,1,0,0,1
105,0.3076505,1,1,0,1,1
106,0.3315966,1,1,0,1,1
107,0.2016735,1,1,0,1,1
108,0.2309927,1,1,0,1,1
109,0.2432848,1,1,0,1,1
110,0.2549404,1,1,0,1,1
111,0.2746849,1,1,0,1,1
112,0.2561386,1,1,0,1,1
113,0.2390916,1,1,0,1,1
114,0.2494599,1,1,0,1,1
115,NA,0,1,0,0,1
116,0.2438361,1,1,0,1,1
117,NA,0,1,0,0,1
118,0.2809294,1,1,0,1,1
119,0.3114003,1,1,0,1,1
120,0.248048,1,1,0,1,1
121,0.2418349,1,1,0,1,1
122,0.3341857,1,1,0,1,1
123,0.2512638,1,1,0,1,1
124,0.2928088,1,1,0,1,1
125,0.2837024,1,1,0,1,1
126,0.2456493,1,1,0,1,1
127,0.2744315,1,1,0,1,1
128,0.3599835,1,1,0,1,1
129,0.3285826,1,1,0,1,1
130,0.2189006,1,1,0,1,1
131,0.2329604,1,1,0,1,1
132,0.3467676,1,1,0,1,1
133,0.3613943,1,1,0,1,1
134,0.2514157,1,1,0,1,1
135,0.2655123,1,1,0,1,1
136,0.2225071,1,1,0,1,1
137,0.2430395,1,1,0,1,1
138,0.2439556,1,1,0,1,1
139,0.2478493,1,1,0,1,1
140,0.2871399,1,1,0,1,1
141,0.2867667,1,1,0,1,1
142,0.2989321,1,1,0,1,1
143,0.2786467,1,1,0,1,1
144,0.2278551,1,1,0,1,1
145,0.3201515,1,1,0,1,1
146,0.2707309,1,1,0,1,1
147,NA,0,1,0,0,1
148,0.2557269,1,1,0,1,1
149,0.3358867,1,1,0,1,1
150,0.289813,1,1,0,1,1
151,0.2160176,1,1,0,1,1
152,NA,0,1,0,0,1
153,0.2856123,1,1,0,1,1
154,0.2328873,1,1,0,1,1
155,NA,0,1,0,0,1
156,0.2854038,1,1,0,1,1
157,0.2698412,1,1,0,1,1
158,0.2354864,1,1,0,1,1
159,0.3011349,1,1,0,1,1
160,0.2736209,1,1,0,1,1
161,0.2386041,1,13,0,0,0
162,0.2363828,1,13,0,0,0
163,NA,0,13,0,1,0
164,NA,0,13,0,1,0
165,NA,0,13,0,1,0
166,NA,0,13,0,1,0
167,NA,0,13,0,1,0
168,NA,0,13,0,1,0
169,NA,0,13,0,1,0
170,NA,0,13,0,1,0
171,NA,0,13,0,1,0
172,NA,0,13,0,1,0
173,NA,0,13,0,1,0
174,NA,0,13,0,1,0
175,0.2477511,1,13,0,0,0
176,NA,0,13,0,1,0
177,NA,0,13,0,1,0
178,NA,0,13,0,1,0
179,NA,0,13,0,1,0
180,0.201588,1,13,0,0,0
181,0.2970365,1,13,0,1,1
182,0.2465295,1,13,0,1,1
183,0.2766675,1,13,0,1,1
184,0.2767793,1,13,0,1,1
185,0.3025446,1,13,0,1,1
186,0.2918243,1,13,0,1,1
187,0.2430836,1,13,0,1,1
188,0.2390653,1,13,0,1,1
189,0.3140519,1,13,0,1,1
190,0.2256049,1,13,0,1,1
191,0.2246784,1,13,0,1,1
192,0.244754,1,13,0,1,1
193,0.2460535,1,13,0,1,1
194,0.2870078,1,13,0,1,1
195,0.2618295,1,13,0,1,1
196,0.2296929,1,13,0,1,1
197,0.23817,1,13,0,1,1
198,0.2354321,1,13,0,1,1
199,0.230954,1,13,0,1,1
200,0.2196871,1,13,0,1,1
201,0.2487444,1,13,0,1,1
202,0.2466328,1,13,0,1,1
203,0.3844352,1,13,0,1,1
204,0.2781291,1,13,0,1,1
205,0.2623392,1,13,0,1,1
206,0.249729,1,13,0,1,1
207,0.2923313,1,13,0,1,1
208,0.2536274,1,13,0,1,1
209,0.2680941,1,13,0,1,1
210,0.2476408,1,13,0,1,1
211,0.2677565,1,13,0,1,1
212,0.2516457,1,13,0,1,1
213,0.3006674,1,13,0,1,1
214,0.284324,1,13,0,1,1
215,0.3002909,1,13,0,1,1
216,0.3005297,1,13,0,1,1
217,0.231652,1,13,0,1,1
218,0.2895212,1,13,0,1,1
219,0.3044806,1,13,0,1,1
220,0.3145355,1,13,0,1,1
221,0.2943644,1,13,0,1,1
222,0.3214169,1,13,0,1,1
223,0.297507,1,13,0,1,1
224,0.3516526,1,13,0,1,1
225,0.2664356,1,13,0,1,1
226,0.2303873,1,13,0,1,1
227,0.2811003,1,13,0,1,1
228,0.281837,1,13,0,1,1
229,0.2847696,1,13,0,1,1
