,rt,response,subj_idx,condition,correct,stimulus
1,NA,0,1,0,1,0
2,0.2841034,1,1,0,0,0
3,NA,0,1,0,1,0
4,NA,0,1,0,1,0
5,NA,0,1,0,1,0
6,0.2558865,1,1,0,0,0
7,NA,0,1,0,1,0
8,NA,0,1,0,1,0
9,NA,0,1,0,1,0
10,0.214466,1,1,0,0,0
11,0.2502866,1,1,0,0,0
12,0.2059619,1,1,0,0,0
13,0.1289823,1,1,0,0,0
14,NA,0,1,0,1,0
15,0.2568355,1,1,0,0,0
16,0.1542945,1,1,0,0,0
17,NA,0,1,0,1,0
18,NA,0,1,0,1,0
19,0.268045,1,1,0,0,0
20,0.2794005,1,1,0,0,0
21,0.2292974,1,1,0,1,1
22,0.284744,1,1,0,1,1
23,0.2558488,1,1,0,1,1
24,0.2069348,1,1,0,1,1
25,0.2687153,1,1,0,1,1
26,0.2401056,1,1,0,1,1
27,0.2454559,1,1,0,1,1
28,0.2737732,1,1,0,1,1
29,0.3038068,1,1,0,1,1
30,0.3174883,1,1,0,1,1
31,0.270391,1,1,0,1,1
32,0.2919249,1,1,0,1,1
33,0.3542667,1,1,0,1,1
34,0.3103652,1,1,0,1,1
35,0.2766665,1,1,0,1,1
36,0.3477762,1,1,0,1,1
37,NA,0,1,0,0,1
38,0.3153651,1,1,0,1,1
39,0.3385598,1,1,0,1,1
40,0.2276214,1,1,0,1,1
41,0.2294584,1,1,0,1,1
42,0.2382945,1,1,0,1,1
43,0.2901831,1,1,0,1,1
44,0.2422796,1,1,0,1,1
45,0.3535036,1,1,0,1,1
46,0.2343262,1,1,0,1,1
47,0.2456307,1,1,0,1,1
48,0.3597692,1,1,0,1,1
49,0.2663528,1,1,0,1,1
50,0.1770449,1,1,0,1,1
51,0.3308214,1,1,0,1,1
52,0.3339014,1,1,0,1,1
53,0.2788744,1,1,0,1,1
54,0.2645046,1,1,0,1,1
55,0.2038413,1,1,0,1,1
56,0.1767147,1,1,0,1,1
57,0.2499216,1,1,0,1,1
58,0.3566749,1,1,0,1,1
59,NA,0,1,0,0,1
60,0.2348391,1,1,0,1,1
61,0.2587057,1,1,0,1,1
62,0.370667,1,1,0,1,1
63,0.2909751,1,1,0,1,1
64,0.3193632,1,1,0,1,1
65,0.2858209,1,1,0,1,1
66,0.0305132,1,1,0,1,1
67,0.2581797,1,1,0,1,1
