,rt,response,subj_idx,condition,correct,stimulus
1,NA,0,1,0,0,1
2,0.3151201,1,1,0,1,1
3,0.3365432,1,1,0,1,1
4,NA,0,1,0,1,0
5,0.2698238,1,1,0,1,1
6,0.2586718,1,1,0,1,1
7,0.278304,1,1,0,1,1
8,0.2358153,1,1,0,1,1
9,0.3060894,1,1,0,1,1
10,0.3499874,1,1,0,1,1
11,0.2299712,1,1,0,1,1
12,NA,0,1,0,0,1
13,0.2682519,1,1,0,1,1
14,0.2023279,1,1,0,1,1
15,0.1562694,1,1,0,1,1
16,NA,0,1,0,0,1
17,NA,0,1,0,1,0
18,0.2946368,1,1,0,1,1
19,0.2214246,1,1,0,0,0
20,0.2433904,1,1,0,1,1
21,0.370837,1,1,0,1,1
22,0.2162822,1,1,0,1,1
23,0.2672546,1,1,0,0,0
24,0.2453752,1,1,0,1,1
25,NA,0,1,0,1,0
26,0.1253372,1,1,0,1,1
27,NA,0,1,0,1,0
28,0.237887,1,1,0,1,1
29,0.2503113,1,1,0,1,1
30,0.2579395,1,1,0,1,1
31,0.1494564,1,1,0,1,1
32,0.2156779,1,1,0,0,0
33,0.2368193,1,1,0,1,1
34,0.1546049,1,1,0,0,0
35,0.2377962,1,1,0,1,1
36,0.3495746,1,1,0,1,1
37,0.3126266,1,1,0,1,1
38,NA,0,1,0,0,1
39,NA,0,1,0,1,0
40,0.2473195,1,1,0,1,1
41,0.2395832,1,1,0,0,0
42,0.2696291,1,1,0,1,1
43,NA,0,1,0,1,0
44,0.3294058,1,1,0,1,1
45,0.2482511,1,1,0,1,1
46,0.2771363,1,1,0,1,1
47,0.2349134,1,1,0,1,1
48,0.3008594,1,1,0,1,1
49,NA,0,1,0,1,0
50,0.2201182,1,1,0,1,1
51,NA,0,1,0,1,0
52,0.1748388,1,1,0,0,0
53,0.127229,1,1,0,1,1
54,0.2426722,1,1,0,1,1
55,0.2938383,1,1,0,1,1
56,0.2465631,1,1,0,1,1
57,0.2299282,1,1,0,1,1
58,0.2179569,1,1,0,1,1
59,0.2817093,1,1,0,1,1
60,0.2260918,1,1,0,1,1
61,0.1869783,1,1,0,1,1
62,0.2520435,1,1,0,1,1
63,NA,0,1,0,1,0
64,0.2480304,1,1,0,1,1
65,0.2616167,1,1,0,1,1
66,0.2094099,1,1,0,1,1
67,0.2491358,1,1,0,1,1
68,NA,0,1,0,1,0
69,0.1699378,1,1,0,1,1
70,NA,0,1,0,1,0
71,0.1302802,1,1,0,1,1
72,NA,0,1,0,0,1
73,NA,0,1,0,1,0
74,0.2301025,1,1,0,0,0
75,0.2729081,1,1,0,1,1
76,NA,0,1,0,1,0
77,0.2318268,1,1,0,1,1
78,0.1739163,1,1,0,1,1
79,0.2383169,1,1,0,1,1
80,0.2453205,1,1,0,1,1
81,0.3441525,1,1,0,0,0
82,0.3237135,1,1,0,1,1
83,0.2630532,1,1,0,1,1
84,0.2098021,1,1,0,1,1
85,0.2948016,1,1,0,1,1
86,0.2460652,1,1,0,1,1
87,0.3267546,1,1,0,1,1
88,0.191094,1,1,0,0,0
89,NA,0,1,0,1,0
