,rt,response,subj_idx,condition,correct,stimulus
1,NA,0,1,0,0,1
2,0.2499031,1,1,0,1,1
3,0.2728782,1,1,0,1,1
4,NA,0,1,0,1,0
5,0.25591,1,1,0,1,1
6,0.3539381,1,1,0,1,1
7,0.2759895,1,1,0,1,1
8,0.3182925,1,1,0,1,1
9,0.2768115,1,1,0,1,1
10,0.1906113,1,1,0,1,1
11,0.219653,1,1,0,1,1
12,0.3048194,1,1,0,1,1
13,0.3437699,1,1,0,1,1
14,0.2430931,1,1,0,1,1
15,0.2336317,1,1,0,1,1
16,0.2408434,1,1,0,1,1
17,0.234318,1,1,0,0,0
18,0.1396765,1,1,0,1,1
19,0.1682516,1,1,0,0,0
20,0.2504056,1,1,0,1,1
21,NA,0,1,0,0,1
22,0.1910306,1,1,0,1,1
23,0.2123198,1,1,0,0,0
24,0.1599152,1,1,0,1,1
25,0.1286741,1,1,0,0,0
26,0.2417519,1,1,0,1,1
27,NA,0,1,0,1,0
28,0.2360557,1,1,0,1,1
29,0.2149366,1,1,0,1,1
30,NA,0,1,0,0,1
31,0.2630179,1,1,0,1,1
32,NA,0,1,0,1,0
33,0.2832353,1,1,0,1,1
34,NA,0,1,0,1,0
35,0.2548681,1,1,0,1,1
36,0.2879807,1,1,0,1,1
37,0.2652853,1,1,0,1,1
38,0.2985435,1,1,0,1,1
39,0.2055251,1,1,0,0,0
40,0.0743424,1,1,0,1,1
41,NA,0,1,0,1,0
42,0.2006445,1,1,0,1,1
43,0.1615029,1,1,0,0,0
44,0.2777223,1,1,0,1,1
45,0.2037091,1,1,0,1,1
46,0.1914096,1,1,0,1,1
47,0.2294273,1,1,0,1,1
48,0.1813256,1,1,0,1,1
49,0.2073433,1,1,0,0,0
50,0.1046675,1,1,0,1,1
51,0.1340677,1,1,0,0,0
52,NA,0,1,0,1,0
53,0.2740006,1,1,0,1,1
54,0.317523,1,1,0,1,1
55,0.1973864,1,1,0,1,1
56,0.2016821,1,1,0,1,1
57,0.2850065,1,1,0,1,1
58,NA,0,1,0,0,1
59,0.3044954,1,1,0,1,1
60,0.2811714,1,1,0,1,1
61,0.2350586,1,1,0,1,1
62,0.3670778,1,1,0,1,1
63,0.2075502,1,1,0,0,0
64,0.253599,1,1,0,1,1
65,0.2477001,1,1,0,1,1
66,0.204727,1,1,0,1,1
67,0.3243812,1,1,0,1,1
68,0.2113616,1,1,0,0,0
69,NA,0,1,0,0,1
70,0.2228869,1,1,0,0,0
71,0.2126377,1,1,0,1,1
72,0.2359871,1,1,0,1,1
73,0.0975151,1,1,0,0,0
74,0.194982,1,1,0,0,0
75,0.073199,1,1,0,1,1
76,0.20806,1,1,0,0,0
77,NA,0,1,0,0,1
78,0.2880797,1,1,0,1,1
79,0.2138803,1,1,0,1,1
80,0.2591296,1,1,0,1,1
81,0.2323666,1,1,0,0,0
82,0.2558323,1,1,0,1,1
83,0.3315002,1,1,0,1,1
84,0.2419661,1,1,0,1,1
85,0.2510389,1,1,0,1,1
86,0.3179587,1,1,0,1,1
87,0.2413909,1,1,0,1,1
88,0.2666562,1,1,0,0,0
89,0.2535546,1,1,0,0,0
90,0.2314027,1,1,0,1,1
91,NA,0,1,0,1,0
92,0.3054194,1,1,0,0,0
93,0.2551454,1,1,0,1,1
94,0.1365179,1,1,0,1,1
95,0.2873876,1,1,0,1,1
96,NA,0,1,0,0,1
97,0.317575,1,1,0,1,1
98,0.3174864,1,1,0,1,1
99,0.265573,1,1,0,1,1
100,0.2881079,1,1,0,1,1
101,0.2683237,1,1,0,1,1
102,0.3202084,1,1,0,1,1
103,NA,0,1,0,1,0
104,0.293772,1,1,0,1,1
105,0.2769819,1,1,0,1,1
106,0.2803768,1,1,0,1,1
107,0.3401985,1,1,0,1,1
108,0.1850143,1,1,0,1,1
109,0.3289932,1,1,0,1,1
110,0.1521403,1,1,0,0,0
111,NA,0,1,0,0,1
112,0.2756744,1,1,0,0,0
113,0.2239548,1,1,0,1,1
114,NA,0,1,0,1,0
115,0.2706205,1,1,0,1,1
116,0.2302759,1,1,0,1,1
117,0.2387462,1,1,0,1,1
118,NA,0,1,0,0,1
119,0.1927312,1,1,0,1,1
120,0.2511996,1,1,0,1,1
121,NA,0,1,0,0,1
122,0.3775887,1,1,0,1,1
123,0.3244214,1,1,0,1,1
124,0.1786282,1,1,0,1,1
125,0.2621292,1,1,0,0,0
126,0.1657869,1,1,0,1,1
127,0.1385319,1,1,0,1,1
128,0.177777,1,1,0,1,1
129,0.1953959,1,1,0,1,1
130,NA,0,1,0,1,0
131,0.2611802,1,1,0,1,1
132,0.3283753,1,1,0,1,1
133,0.1378243,1,1,0,1,1
134,0.216326,1,1,0,1,1
135,NA,0,1,0,1,0
136,0.1963173,1,1,0,1,1
137,0.2348856,1,1,0,0,0
138,NA,0,1,0,0,1
139,0.2686075,1,1,0,1,1
140,0.3288103,1,1,0,1,1
141,0.2894856,1,1,0,1,1
142,0.277601,1,1,0,1,1
143,0.2292804,1,1,0,0,0
144,0.25473,1,1,0,1,1
145,0.2647172,1,1,0,1,1
146,0.320051,1,1,0,1,1
147,0.298611,1,1,0,1,1
148,0.2293366,1,1,0,1,1
149,0.3099492,1,1,0,1,1
150,0.3029716,1,1,0,0,0
151,0.1761942,1,1,0,1,1
152,NA,0,1,0,1,0
153,0.1999529,1,1,0,0,0
154,0.2030849,1,1,0,1,1
155,0.1835326,1,1,0,0,0
156,0.3730345,1,1,0,1,1
157,NA,0,1,0,1,0
158,0.3599976,1,1,0,1,1
159,NA,0,1,0,0,1
160,0.1908993,1,1,0,0,0
161,0.3050954,1,2,0,1,1
162,0.2477613,1,2,0,1,1
163,0.3481531,1,2,0,1,1
164,NA,0,2,0,1,0
165,0.3280512,1,2,0,1,1
166,0.3300176,1,2,0,1,1
167,0.3221775,1,2,0,1,1
168,0.349909,1,2,0,1,1
169,0.3726366,1,2,0,1,1
170,0.3169398,1,2,0,1,1
171,0.3613833,1,2,0,1,1
172,0.2697509,1,2,0,1,1
173,0.3565116,1,2,0,1,1
174,0.2899138,1,2,0,1,1
175,0.382896,1,2,0,1,1
176,0.2763302,1,2,0,1,1
177,NA,0,2,0,1,0
178,0.2891478,1,2,0,1,1
179,NA,0,2,0,1,0
180,0.2985573,1,2,0,1,1
181,0.23143,1,2,0,1,1
182,0.2828658,1,2,0,1,1
183,NA,0,2,0,1,0
184,0.3520152,1,2,0,1,1
185,NA,0,2,0,1,0
186,0.2738758,1,2,0,1,1
187,NA,0,2,0,1,0
188,NA,0,2,0,0,1
189,0.3207022,1,2,0,1,1
190,0.3190336,1,2,0,1,1
191,0.3082302,1,2,0,1,1
192,0.2361494,1,2,0,0,0
193,0.2467203,1,2,0,1,1
194,NA,0,2,0,1,0
195,0.3315044,1,2,0,1,1
196,0.3807911,1,2,0,1,1
197,0.2666965,1,2,0,1,1
198,0.2691414,1,2,0,1,1
199,NA,0,2,0,1,0
200,0.3210252,1,2,0,1,1
201,NA,0,2,0,1,0
202,NA,0,2,0,0,1
203,NA,0,2,0,1,0
204,0.3712163,1,2,0,1,1
205,0.3407881,1,2,0,1,1
206,NA,0,2,0,0,1
207,0.3368579,1,2,0,1,1
208,0.2857153,1,2,0,1,1
209,NA,0,2,0,1,0
210,0.3709025,1,2,0,1,1
211,0.2650455,1,2,0,0,0
212,NA,0,2,0,1,0
213,0.3149359,1,2,0,1,1
214,0.3114408,1,2,0,1,1
215,0.2931615,1,2,0,1,1
216,0.3109097,1,2,0,1,1
217,0.3221413,1,2,0,1,1
218,NA,0,2,0,0,1
219,0.2743188,1,2,0,1,1
220,0.2454539,1,2,0,1,1
221,0.2484756,1,2,0,1,1
222,0.3372201,1,2,0,1,1
223,NA,0,2,0,1,0
224,0.3368472,1,2,0,1,1
225,0.2399537,1,2,0,1,1
226,0.2231833,1,2,0,1,1
227,0.29026,1,2,0,1,1
228,NA,0,2,0,1,0
229,0.344628,1,2,0,1,1
230,NA,0,2,0,1,0
231,0.323676,1,2,0,1,1
232,0.3018919,1,2,0,1,1
233,NA,0,2,0,1,0
234,0.2713422,1,2,0,0,0
235,0.3441222,1,2,0,1,1
236,NA,0,2,0,1,0
237,0.3058569,1,2,0,1,1
238,0.3386911,1,2,0,1,1
239,0.3299407,1,2,0,1,1
240,0.2269519,1,2,0,1,1
241,NA,0,2,0,1,0
242,NA,0,2,0,0,1
243,0.3081042,1,2,0,1,1
244,0.2321317,1,2,0,1,1
245,0.2478402,1,2,0,1,1
246,0.2230868,1,2,0,1,1
247,0.295347,1,2,0,1,1
248,NA,0,2,0,1,0
249,0.2627815,1,2,0,0,0
250,0.3198687,1,2,0,1,1
251,NA,0,2,0,1,0
252,NA,0,2,0,1,0
253,0.2805448,1,2,0,1,1
254,0.2964288,1,2,0,1,1
255,0.2870763,1,2,0,1,1
256,0.3198513,1,2,0,1,1
257,0.2530156,1,2,0,1,1
258,0.2886748,1,2,0,1,1
259,0.2973509,1,2,0,1,1
260,0.3336074,1,2,0,1,1
261,0.2976361,1,2,0,1,1
262,0.3153037,1,2,0,1,1
263,NA,0,2,0,1,0
264,0.3555964,1,2,0,1,1
265,0.2737429,1,2,0,1,1
266,0.2762025,1,2,0,1,1
267,0.3270918,1,2,0,1,1
268,0.2008359,1,2,0,1,1
269,NA,0,2,0,0,1
270,NA,0,2,0,1,0
271,NA,0,2,0,0,1
272,NA,0,2,0,1,0
273,0.3099331,1,2,0,1,1
274,NA,0,2,0,1,0
275,0.2127137,1,2,0,1,1
276,0.2634503,1,2,0,1,1
277,0.2589129,1,2,0,1,1
278,0.2874837,1,2,0,1,1
279,0.2915656,1,2,0,1,1
280,0.3321556,1,2,0,1,1
281,0.2897031,1,2,0,1,1
282,0.3571686,1,2,0,1,1
283,0.2794911,1,2,0,1,1
284,NA,0,2,0,0,1
285,0.2756454,1,2,0,0,0
286,0.2564043,1,2,0,1,1
287,0.3168566,1,2,0,1,1
288,0.3130545,1,2,0,1,1
289,0.3057371,1,2,0,1,1
290,NA,0,2,0,1,0
291,0.2894445,1,2,0,1,1
292,0.3307211,1,2,0,1,1
293,0.2996746,1,2,0,1,1
294,0.3121641,1,2,0,1,1
295,0.2335674,1,2,0,0,0
296,0.3723486,1,2,0,1,1
297,NA,0,2,0,1,0
298,0.3784535,1,2,0,1,1
299,0.3299703,1,2,0,1,1
300,0.3413978,1,2,0,1,1
301,0.2193829,1,2,0,1,1
302,0.2589806,1,2,0,1,1
303,NA,0,2,0,1,0
304,0.247463,1,2,0,1,1
305,0.2807207,1,2,0,1,1
306,0.310119,1,2,0,1,1
307,0.3267177,1,2,0,1,1
308,0.3231539,1,2,0,1,1
309,0.29383,1,2,0,1,1
310,NA,0,2,0,1,0
311,0.3092368,1,2,0,1,1
312,NA,0,2,0,1,0
313,NA,0,2,0,1,0
314,0.3195308,1,2,0,1,1
315,NA,0,2,0,1,0
316,0.2846633,1,2,0,1,1
317,NA,0,2,0,1,0
318,0.2475194,1,2,0,1,1
319,0.3742344,1,2,0,1,1
320,NA,0,2,0,1,0
321,NA,0,3,0,0,1
322,NA,0,3,0,0,1
323,0.2613624,1,3,0,1,1
324,NA,0,3,0,1,0
325,0.2670406,1,3,0,1,1
326,0.3448823,1,3,0,1,1
327,0.2650844,1,3,0,1,1
328,0.2925204,1,3,0,1,1
329,0.3127134,1,3,0,1,1
330,0.2689353,1,3,0,1,1
331,0.2812645,1,3,0,1,1
332,0.279034,1,3,0,1,1
333,0.2525193,1,3,0,1,1
334,0.2564806,1,3,0,1,1
335,0.2781741,1,3,0,1,1
336,0.2711308,1,3,0,1,1
337,0.2942789,1,3,0,0,0
338,0.2466546,1,3,0,1,1
339,NA,0,3,0,1,0
340,NA,0,3,0,0,1
341,0.338573,1,3,0,1,1
342,0.3471618,1,3,0,1,1
343,0.2867853,1,3,0,0,0
344,NA,0,3,0,0,1
345,0.33555,1,3,0,0,0
346,NA,0,3,0,0,1
347,NA,0,3,0,1,0
348,0.2523723,1,3,0,1,1
349,NA,0,3,0,0,1
350,0.2738221,1,3,0,1,1
351,0.2713843,1,3,0,1,1
352,NA,0,3,0,1,0
353,0.3525462,1,3,0,1,1
354,NA,0,3,0,1,0
355,0.2511624,1,3,0,1,1
356,0.3234494,1,3,0,1,1
357,0.2732473,1,3,0,1,1
358,0.2920484,1,3,0,1,1
359,0.2967134,1,3,0,0,0
360,0.2998615,1,3,0,1,1
361,NA,0,3,0,1,0
362,0.2604081,1,3,0,1,1
363,0.240062,1,3,0,0,0
364,0.316857,1,3,0,1,1
365,0.3573149,1,3,0,1,1
366,0.3712392,1,3,0,1,1
367,0.3171548,1,3,0,1,1
368,0.312621,1,3,0,1,1
369,NA,0,3,0,1,0
370,0.3066495,1,3,0,1,1
371,NA,0,3,0,1,0
372,NA,0,3,0,1,0
373,0.3360466,1,3,0,1,1
374,0.3121885,1,3,0,1,1
375,0.2553526,1,3,0,1,1
376,0.2531629,1,3,0,1,1
377,0.2396589,1,3,0,1,1
378,0.2544428,1,3,0,1,1
379,0.240393,1,3,0,1,1
380,0.1232171,1,3,0,1,1
381,0.1703777,1,3,0,1,1
382,0.2937136,1,3,0,1,1
383,0.2669928,1,3,0,0,0
384,0.2779247,1,3,0,1,1
385,0.1077487,1,3,0,1,1
386,0.2690677,1,3,0,1,1
387,0.3173336,1,3,0,1,1
388,NA,0,3,0,1,0
389,0.28193,1,3,0,1,1
390,NA,0,3,0,1,0
391,0.3346805,1,3,0,1,1
392,0.3365277,1,3,0,1,1
393,NA,0,3,0,1,0
394,0.3044941,1,3,0,0,0
395,0.3664956,1,3,0,1,1
396,NA,0,3,0,1,0
397,0.3392041,1,3,0,1,1
398,0.3287435,1,3,0,1,1
399,0.3153718,1,3,0,1,1
400,0.2967016,1,3,0,1,1
401,0.2864249,1,3,0,0,0
402,0.2792191,1,3,0,1,1
403,0.2850544,1,3,0,1,1
404,0.3554307,1,3,0,1,1
405,0.2579125,1,3,0,1,1
406,0.2705368,1,3,0,1,1
407,0.2743982,1,3,0,1,1
408,NA,0,3,0,1,0
409,NA,0,3,0,1,0
410,0.3620761,1,3,0,1,1
411,NA,0,3,0,1,0
412,NA,0,3,0,1,0
413,0.2691017,1,3,0,1,1
414,0.3839975,1,3,0,1,1
415,0.2528073,1,3,0,1,1
416,0.2721725,1,3,0,1,1
417,0.2669086,1,3,0,1,1
418,0.2645558,1,3,0,1,1
419,0.2961433,1,3,0,1,1
420,0.2666925,1,3,0,1,1
421,0.2375987,1,3,0,1,1
422,0.2571061,1,3,0,1,1
423,0.2509754,1,3,0,0,0
424,0.344552,1,3,0,1,1
425,0.3150653,1,3,0,1,1
426,0.2881596,1,3,0,1,1
427,0.2594982,1,3,0,1,1
428,0.2995868,1,3,0,1,1
429,0.2881936,1,3,0,1,1
430,0.2798256,1,3,0,0,0
431,0.2370339,1,3,0,1,1
432,NA,0,3,0,1,0
433,0.2790264,1,3,0,1,1
434,NA,0,3,0,1,0
435,0.2803765,1,3,0,1,1
436,0.3150789,1,3,0,1,1
437,0.2460498,1,3,0,1,1
438,0.2723993,1,3,0,1,1
439,0.293391,1,3,0,1,1
440,0.2766741,1,3,0,1,1
441,0.2649382,1,3,0,1,1
442,0.2822527,1,3,0,1,1
443,0.276544,1,3,0,1,1
444,0.271847,1,3,0,1,1
445,0.2552965,1,3,0,0,0
446,0.300959,1,3,0,1,1
447,0.2813708,1,3,0,1,1
448,0.3364628,1,3,0,1,1
449,0.2870356,1,3,0,1,1
450,NA,0,3,0,1,0
451,0.3023838,1,3,0,1,1
452,0.2748828,1,3,0,1,1
453,0.2737126,1,3,0,1,1
454,0.3080796,1,3,0,1,1
455,NA,0,3,0,1,0
456,0.2942179,1,3,0,1,1
457,NA,0,3,0,1,0
458,0.3422046,1,3,0,1,1
459,0.352212,1,3,0,1,1
460,0.3638307,1,3,0,1,1
461,0.3304538,1,3,0,1,1
462,0.2874601,1,3,0,1,1
463,0.2604397,1,3,0,0,0
464,NA,0,3,0,0,1
465,0.2974064,1,3,0,1,1
466,0.3026947,1,3,0,1,1
