"","rt","response","subj_idx","condition","correct","stimulus"
"4161",NA,"0",28,"1",0,"1"
"4162",0.2641669,"1",28,"1",1,"1"
"4163",0.2370975,"1",28,"1",1,"1"
"4164",0.2786735,"1",28,"1",1,"1"
"4165",0.2942384,"1",28,"1",1,"1"
"4166",0.3399209,"1",28,"1",1,"1"
"4167",0.3204216,"1",28,"1",1,"1"
"4168",0.3619938,"1",28,"1",1,"1"
"4169",NA,"0",28,"1",0,"1"
"4170",0.1516609,"1",28,"1",1,"1"
"4171",0.2843748,"1",28,"1",1,"1"
"4172",0.2676911,"1",28,"1",1,"1"
"4173",0.2332822,"1",28,"1",1,"1"
"4174",0.2587891,"1",28,"1",1,"1"
"4175",0.3629037,"1",28,"1",1,"1"
"4176",0.3378949,"1",28,"1",1,"1"
"4177",0.2849507,"1",28,"1",1,"1"
"4178",0.3251835,"1",28,"1",1,"1"
"4179",0.3650527,"1",28,"1",1,"1"
"4180",0.2195356,"1",28,"1",1,"1"
"4181",0.2339605,"1",28,"1",1,"1"
"4182",0.2154095,"1",28,"1",1,"1"
"4183",0.3254728,"1",28,"1",1,"1"
"4184",NA,"0",28,"1",0,"1"
"4185",0.2441306,"1",28,"1",1,"1"
"4186",0.2667787,"1",28,"1",1,"1"
"4187",NA,"0",28,"1",0,"1"
"4188",NA,"0",28,"1",0,"1"
"4189",0.2422498,"1",28,"1",1,"1"
"4190",0.2196555,"1",28,"1",1,"1"
"4191",0.2310492,"1",28,"1",1,"1"
"4192",0.2817844,"1",28,"1",1,"1"
"4193",0.1679357,"1",28,"1",1,"1"
"4194",0.1132909,"1",28,"1",1,"1"
"4195",0.244627,"1",28,"1",1,"1"
"4196",0.2357323,"1",28,"1",1,"1"
"4197",NA,"0",28,"1",0,"1"
"4198",0.2895973,"1",28,"1",1,"1"
"4199",0.2219229,"1",28,"1",1,"1"
"4200",0.3067435,"1",28,"1",1,"1"
"4201",0.3159696,"1",28,"1",1,"1"
"4202",0.3119455,"1",28,"1",1,"1"
"4203",NA,"0",28,"1",0,"1"
"4204",0.3343624,"1",28,"1",1,"1"
"4205",0.258089,"1",28,"1",1,"1"
"4206",0.2187223,"1",28,"1",1,"1"
"4207",0.3282386,"1",28,"1",1,"1"
"4208",0.2512615,"1",28,"1",1,"1"
"4209",0.2630509,"1",28,"1",1,"1"
"4210",0.3624938,"1",28,"1",1,"1"
"4211",0.225443,"1",28,"1",1,"1"
"4212",0.2328486,"1",28,"1",1,"1"
"4213",0.2922658,"1",28,"1",1,"1"
"4214",0.1985345,"1",28,"1",1,"1"
"4215",0.1862836,"1",28,"1",1,"1"
"4216",0.1053322,"1",28,"1",1,"1"
"4217",0.3232033,"1",28,"1",1,"1"
"4218",0.2795196,"1",28,"1",1,"1"
"4219",0.280199,"1",28,"1",1,"1"
"4220",0.2129415,"1",28,"1",1,"1"
"4221",0.3585132,"1",28,"1",0,"0"
"4222",0.3107668,"1",28,"1",0,"0"
"4223",NA,"0",28,"1",1,"0"
"4224",0.2188019,"1",28,"1",0,"0"
"4225",NA,"0",28,"1",1,"0"
"4226",0.1508612,"1",28,"1",0,"0"
"4227",NA,"0",28,"1",1,"0"
"4228",NA,"0",28,"1",1,"0"
"4229",NA,"0",28,"1",1,"0"
"4230",NA,"0",28,"1",1,"0"
"4231",NA,"0",28,"1",1,"0"
"4232",0.227761,"1",28,"1",0,"0"
"4233",NA,"0",28,"1",1,"0"
"4234",0.2481567,"1",28,"1",0,"0"
"4235",NA,"0",28,"1",1,"0"
"4236",0.226389,"1",28,"1",0,"0"
"4237",0.2763419,"1",28,"1",0,"0"
"4238",NA,"0",28,"1",1,"0"
"4239",NA,"0",28,"1",1,"0"
"4240",NA,"0",28,"1",1,"0"
"4241",0.3520498,"1",28,"1",1,"1"
"4242",0.2532255,"1",28,"1",1,"1"
"4243",0.3176647,"1",28,"1",1,"1"
"4244",0.2530828,"1",28,"1",1,"1"
"4245",0.3032604,"1",28,"1",1,"1"
"4246",0.2480001,"1",28,"1",1,"1"
"4247",0.2520256,"1",28,"1",1,"1"
"4248",0.230063,"1",28,"1",1,"1"
"4249",0.2972321,"1",28,"1",1,"1"
"4250",0.3203913,"1",28,"1",1,"1"
"4251",0.2453599,"1",28,"1",1,"1"
"4252",NA,"0",28,"1",0,"1"
"4253",0.2967776,"1",28,"1",1,"1"
"4254",0.2387377,"1",28,"1",1,"1"
"4255",0.1557633,"1",28,"1",1,"1"
"4256",0.3273144,"1",28,"1",1,"1"
"4257",0.2054564,"1",28,"1",1,"1"
"4258",0.1959886,"1",28,"1",1,"1"
"4259",0.219071,"1",28,"1",1,"1"
"4260",0.1804295,"1",28,"1",1,"1"
"4261",0.3281767,"1",28,"1",1,"1"
"4262",0.3099322,"1",28,"1",1,"1"
"4263",0.3376163,"1",28,"1",1,"1"
"4264",0.2917487,"1",28,"1",1,"1"
"4265",0.158131,"1",28,"1",1,"1"
"4266",0.2780085,"1",28,"1",1,"1"
"4267",0.1632382,"1",28,"1",1,"1"
"4268",0.2708385,"1",28,"1",1,"1"
"4269",0.3087037,"1",28,"1",1,"1"
"4270",0.3267745,"1",28,"1",1,"1"
"4271",0.2267957,"1",28,"1",1,"1"
"4272",0.2809473,"1",28,"1",1,"1"
"4273",0.2134563,"1",28,"1",1,"1"
"4274",0.2724075,"1",28,"1",1,"1"
"4275",NA,"0",28,"1",0,"1"
"4276",0.181795,"1",28,"1",1,"1"
"4277",0.2947415,"1",28,"1",1,"1"
"4278",0.2707408,"1",28,"1",1,"1"
"4279",0.2553821,"1",28,"1",1,"1"
"4280",0.3056579,"1",28,"1",1,"1"
"4281",0.2884261,"1",28,"1",1,"1"
"4282",0.1759732,"1",28,"1",1,"1"
"4283",0.2029705,"1",28,"1",1,"1"
"4284",0.1275276,"1",28,"1",1,"1"
"4285",0.2087648,"1",28,"1",1,"1"
"4286",0.2386063,"1",28,"1",1,"1"
"4287",0.2256765,"1",28,"1",1,"1"
"4288",NA,"0",28,"1",0,"1"
"4289",0.2003032,"1",28,"1",1,"1"
"4290",0.3855611,"1",28,"1",1,"1"
"4291",0.2369407,"1",28,"1",1,"1"
"4292",NA,"0",28,"1",0,"1"
"4293",0.1792514,"1",28,"1",1,"1"
"4294",0.3183228,"1",28,"1",1,"1"
"4295",0.3103803,"1",28,"1",1,"1"
"4296",NA,"0",28,"1",0,"1"
"4297",0.2416876,"1",28,"1",1,"1"
"4298",0.287866,"1",28,"1",1,"1"
"4299",0.2864993,"1",28,"1",1,"1"
"4300",0.2550461,"1",28,"1",1,"1"
"4301",NA,"0",28,"1",1,"0"
"4302",0.2503299,"1",28,"1",0,"0"
"4303",NA,"0",28,"1",1,"0"
"4304",0.3542564,"1",28,"1",0,"0"
"4305",NA,"0",28,"1",1,"0"
"4306",0.1470879,"1",28,"1",0,"0"
"4307",NA,"0",28,"1",1,"0"
"4308",0.2628594,"1",28,"1",0,"0"
"4309",0.2226795,"1",28,"1",0,"0"
"4310",NA,"0",28,"1",1,"0"
"4311",0.3447694,"1",28,"1",0,"0"
"4312",0.2281296,"1",28,"1",0,"0"
"4313",0.0372001,"1",28,"1",0,"0"
"4314",NA,"0",28,"1",1,"0"
"4315",0.250564,"1",28,"1",0,"0"
"4316",0.2546526,"1",28,"1",0,"0"
"4317",0.1708423,"1",28,"1",0,"0"
"4318",0.313904,"1",28,"1",0,"0"
"4319",NA,"0",28,"1",1,"0"
"4320",0.2226154,"1",28,"1",0,"0"
"4321",NA,"0",29,"1",1,"0"
"4322",NA,"0",29,"1",1,"0"
"4323",0.2456448,"1",29,"1",0,"0"
"4324",NA,"0",29,"1",1,"0"
"4325",NA,"0",29,"1",1,"0"
"4326",0.2652459,"1",29,"1",0,"0"
"4327",NA,"0",29,"1",1,"0"
"4328",NA,"0",29,"1",1,"0"
"4329",NA,"0",29,"1",1,"0"
"4330",0.2542679,"1",29,"1",0,"0"
"4331",0.256172,"1",29,"1",0,"0"
"4332",NA,"0",29,"1",1,"0"
"4333",NA,"0",29,"1",1,"0"
"4334",NA,"0",29,"1",1,"0"
"4335",NA,"0",29,"1",1,"0"
"4336",NA,"0",29,"1",1,"0"
"4337",0.2470834,"1",29,"1",0,"0"
"4338",NA,"0",29,"1",1,"0"
"4339",NA,"0",29,"1",1,"0"
"4340",NA,"0",29,"1",1,"0"
"4341",0.2673769,"1",29,"1",1,"1"
"4342",0.2959759,"1",29,"1",1,"1"
"4343",0.3141222,"1",29,"1",1,"1"
"4344",0.2841765,"1",29,"1",1,"1"
"4345",0.2360575,"1",29,"1",1,"1"
"4346",0.3020422,"1",29,"1",1,"1"
"4347",0.22773,"1",29,"1",1,"1"
"4348",NA,"0",29,"1",0,"1"
"4349",0.338275,"1",29,"1",1,"1"
"4350",0.120197,"1",29,"1",1,"1"
"4351",0.1960182,"1",29,"1",1,"1"
"4352",0.3258627,"1",29,"1",1,"1"
"4353",0.2606836,"1",29,"1",1,"1"
"4354",0.2616972,"1",29,"1",1,"1"
"4355",0.2780695,"1",29,"1",1,"1"
"4356",0.2593449,"1",29,"1",1,"1"
"4357",0.3349903,"1",29,"1",1,"1"
"4358",0.2753463,"1",29,"1",1,"1"
"4359",NA,"0",29,"1",0,"1"
"4360",0.2730378,"1",29,"1",1,"1"
"4361",0.2649108,"1",29,"1",1,"1"
"4362",0.261254,"1",29,"1",1,"1"
"4363",0.2709059,"1",29,"1",1,"1"
"4364",NA,"0",29,"1",0,"1"
"4365",0.3068117,"1",29,"1",1,"1"
"4366",NA,"0",29,"1",0,"1"
"4367",0.2752503,"1",29,"1",1,"1"
"4368",0.3467704,"1",29,"1",1,"1"
"4369",0.2498237,"1",29,"1",1,"1"
"4370",0.3648365,"1",29,"1",1,"1"
"4371",NA,"0",29,"1",0,"1"
"4372",0.2969214,"1",29,"1",1,"1"
"4373",0.2731108,"1",29,"1",1,"1"
"4374",0.2950766,"1",29,"1",1,"1"
"4375",0.2872668,"1",29,"1",1,"1"
"4376",0.2734981,"1",29,"1",1,"1"
"4377",0.370194,"1",29,"1",1,"1"
"4378",0.2669005,"1",29,"1",1,"1"
"4379",0.2884629,"1",29,"1",1,"1"
"4380",NA,"0",29,"1",0,"1"
"4381",0.2924978,"1",29,"1",1,"1"
"4382",0.2531167,"1",29,"1",1,"1"
"4383",0.2110185,"1",29,"1",1,"1"
"4384",NA,"0",29,"1",0,"1"
"4385",NA,"0",29,"1",0,"1"
"4386",0.3689302,"1",29,"1",1,"1"
"4387",NA,"0",29,"1",0,"1"
"4388",0.3083344,"1",29,"1",1,"1"
"4389",NA,"0",29,"1",0,"1"
"4390",0.3416582,"1",29,"1",1,"1"
"4391",0.2988201,"1",29,"1",1,"1"
"4392",0.2989777,"1",29,"1",1,"1"
"4393",0.374981,"1",29,"1",1,"1"
"4394",0.2272598,"1",29,"1",1,"1"
"4395",0.3041815,"1",29,"1",1,"1"
"4396",0.2609882,"1",29,"1",1,"1"
"4397",NA,"0",29,"1",0,"1"
"4398",0.2826706,"1",29,"1",1,"1"
"4399",0.3149164,"1",29,"1",1,"1"
"4400",0.3186734,"1",29,"1",1,"1"
"4401",NA,"0",29,"1",1,"0"
"4402",NA,"0",29,"1",1,"0"
"4403",NA,"0",29,"1",1,"0"
"4404",0.3092014,"1",29,"1",0,"0"
"4405",NA,"0",29,"1",1,"0"
"4406",NA,"0",29,"1",1,"0"
"4407",NA,"0",29,"1",1,"0"
"4408",0.2017143,"1",29,"1",0,"0"
"4409",NA,"0",29,"1",1,"0"
"4410",NA,"0",29,"1",1,"0"
"4411",NA,"0",29,"1",1,"0"
"4412",0.1937909,"1",29,"1",0,"0"
"4413",NA,"0",29,"1",1,"0"
"4414",NA,"0",29,"1",1,"0"
"4415",0.29773,"1",29,"1",0,"0"
"4416",NA,"0",29,"1",1,"0"
"4417",NA,"0",29,"1",1,"0"
"4418",0.2707808,"1",29,"1",0,"0"
"4419",NA,"0",29,"1",1,"0"
