,rt,response,subj_idx,condition,correct,stimulus
1,NA,0,13,1,0,1
2,0.2534424,1,13,1,1,1
3,0.2016152,1,13,1,1,1
4,0.3026572,1,13,1,0,0
5,0.3077573,1,13,1,1,1
6,0.2454587,1,13,1,1,1
7,0.299105,1,13,1,1,1
8,0.3069376,1,13,1,1,1
9,0.2766655,1,13,1,1,1
10,0.3152403,1,13,1,1,1
11,NA,0,13,1,0,1
12,0.2791203,1,13,1,1,1
13,0.3558464,1,13,1,1,1
14,0.2647972,1,13,1,1,1
15,0.3365917,1,13,1,1,1
16,0.2511567,1,13,1,1,1
17,NA,0,13,1,1,0
18,0.2906375,1,13,1,1,1
19,0.3015965,1,13,1,0,0
20,0.3311808,1,13,1,1,1
21,NA,0,13,1,0,1
22,0.2594636,1,13,1,1,1
23,NA,0,13,1,1,0
24,0.3011597,1,13,1,1,1
25,NA,0,13,1,1,0
26,0.2723709,1,13,1,1,1
27,NA,0,13,1,1,0
28,0.2857572,1,13,1,1,1
29,0.3589912,1,13,1,1,1
30,0.3348333,1,13,1,1,1
31,0.3241203,1,13,1,1,1
32,NA,0,13,1,1,0
33,0.3023687,1,13,1,1,1
34,NA,0,13,1,1,0
35,0.2808277,1,13,1,1,1
36,0.364193,1,13,1,1,1
37,NA,0,13,1,0,1
38,NA,0,13,1,0,1
39,NA,0,13,1,1,0
40,NA,0,13,1,0,1
41,NA,0,13,1,1,0
42,0.3166834,1,13,1,1,1
43,NA,0,13,1,1,0
44,NA,0,13,1,0,1
45,0.3749928,1,13,1,1,1
46,0.3192604,1,13,1,1,1
47,0.2804075,1,13,1,1,1
48,0.2713662,1,13,1,1,1
49,NA,0,13,1,1,0
50,0.3621585,1,13,1,1,1
51,NA,0,13,1,1,0
52,0.2730431,1,13,1,0,0
53,0.3000641,1,13,1,1,1
54,0.2778955,1,13,1,1,1
55,0.2732593,1,13,1,1,1
56,0.2744049,1,13,1,1,1
57,0.2813347,1,13,1,1,1
58,0.309899,1,13,1,1,1
59,NA,0,13,1,0,1
60,0.296567,1,13,1,1,1
61,0.3028527,1,13,1,1,1
62,NA,0,13,1,0,1
63,NA,0,13,1,1,0
64,0.2924259,1,13,1,1,1
65,NA,0,13,1,0,1
66,0.2942214,1,13,1,1,1
67,0.3013356,1,13,1,1,1
68,NA,0,13,1,1,0
69,0.2620697,1,13,1,1,1
70,NA,0,13,1,1,0
71,0.3286317,1,13,1,1,1
72,0.362297,1,13,1,1,1
73,NA,0,13,1,1,0
74,NA,0,13,1,1,0
75,NA,0,13,1,0,1
76,NA,0,13,1,1,0
77,0.3135634,1,13,1,1,1
78,0.2869781,1,13,1,1,1
79,0.3199992,1,13,1,1,1
80,0.290245,1,13,1,1,1
81,NA,0,13,1,1,0
82,0.2676123,1,13,1,1,1
83,0.0672133,1,13,1,1,1
84,0.26625,1,13,1,1,1
85,0.2718734,1,13,1,1,1
86,0.3644606,1,13,1,1,1
87,0.2804886,1,13,1,1,1
88,NA,0,13,1,1,0
89,NA,0,13,1,1,0
90,0.2799299,1,13,1,1,1
91,NA,0,13,1,1,0
92,NA,0,13,1,1,0
93,0.3038441,1,13,1,1,1
94,0.331552,1,13,1,1,1
95,NA,0,13,1,0,1
96,0.262926,1,13,1,1,1
97,0.2497636,1,13,1,1,1
98,0.2894721,1,13,1,1,1
99,0.2617913,1,13,1,1,1
100,0.284119,1,13,1,1,1
101,0.2574395,1,13,1,1,1
102,0.30842,1,13,1,1,1
103,0.233796,1,13,1,0,0
104,NA,0,13,1,0,1
105,0.2423287,1,13,1,1,1
106,0.3156094,1,13,1,1,1
107,0.2646002,1,13,1,1,1
108,0.3664994,1,13,1,1,1
109,0.2943359,1,13,1,1,1
110,NA,0,13,1,1,0
111,0.2941904,1,13,1,1,1
112,NA,0,13,1,1,0
113,0.2813604,1,13,1,1,1
114,0.2526873,1,13,1,0,0
115,0.3045595,1,13,1,1,1
116,0.3272572,1,13,1,1,1
117,0.3212433,1,13,1,1,1
118,NA,0,13,1,0,1
119,0.2994274,1,13,1,1,1
120,0.3108829,1,13,1,1,1
121,0.270685,1,13,1,1,1
122,0.346114,1,13,1,1,1
123,0.3050145,1,13,1,1,1
124,0.3004665,1,13,1,1,1
125,NA,0,13,1,1,0
126,0.2480719,1,13,1,1,1
127,0.3251085,1,13,1,1,1
128,0.2879104,1,13,1,1,1
129,0.3094561,1,13,1,1,1
130,0.2110773,1,13,1,0,0
131,0.2911228,1,13,1,1,1
132,0.3088802,1,13,1,1,1
133,0.3000475,1,13,1,1,1
134,0.3101666,1,13,1,1,1
135,NA,0,13,1,1,0
136,0.2998253,1,13,1,1,1
137,NA,0,13,1,1,0
138,0.2942514,1,13,1,1,1
139,NA,0,13,1,0,1
140,0.3222094,1,13,1,1,1
141,0.3056382,1,13,1,1,1
142,0.2948713,1,13,1,1,1
143,NA,0,13,1,1,0
144,0.2924803,1,13,1,1,1
145,0.2750968,1,13,1,1,1
146,0.2846557,1,13,1,1,1
147,NA,0,13,1,0,1
148,0.2758502,1,13,1,1,1
149,0.304008,1,13,1,1,1
150,NA,0,13,1,1,0
151,0.3143959,1,13,1,1,1
152,NA,0,13,1,1,0
153,NA,0,13,1,1,0
154,0.3034673,1,13,1,1,1
155,NA,0,13,1,1,0
156,0.2753229,1,13,1,1,1
157,NA,0,13,1,1,0
158,0.2865933,1,13,1,1,1
159,0.3109964,1,13,1,1,1
160,NA,0,13,1,1,0
161,NA,0,14,1,0,1
162,0.3143706,1,14,1,1,1
163,0.3164722,1,14,1,1,1
164,NA,0,14,1,1,0
165,0.2893346,1,14,1,1,1
166,0.3208849,1,14,1,1,1
167,0.3310908,1,14,1,1,1
168,0.3413927,1,14,1,1,1
169,NA,0,14,1,0,1
170,0.3522572,1,14,1,1,1
171,0.2968288,1,14,1,1,1
172,0.261868,1,14,1,1,1
173,0.3119229,1,14,1,1,1
174,0.347487,1,14,1,1,1
175,0.3110476,1,14,1,1,1
176,0.3409966,1,14,1,1,1
177,NA,0,14,1,1,0
178,0.291034,1,14,1,1,1
179,NA,0,14,1,1,0
180,NA,0,14,1,0,1
181,0.3234881,1,14,1,1,1
182,0.3329357,1,14,1,1,1
183,NA,0,14,1,1,0
184,0.2997536,1,14,1,1,1
185,NA,0,14,1,1,0
186,0.3098383,1,14,1,1,1
187,NA,0,14,1,1,0
188,0.3190773,1,14,1,1,1
189,0.3092368,1,14,1,1,1
190,0.2956439,1,14,1,1,1
191,0.3422587,1,14,1,1,1
192,NA,0,14,1,1,0
193,0.2570816,1,14,1,1,1
194,NA,0,14,1,1,0
195,0.3154126,1,14,1,1,1
196,0.3339745,1,14,1,1,1
197,0.3836583,1,14,1,1,1
198,0.3613238,1,14,1,1,1
199,NA,0,14,1,1,0
200,0.3407862,1,14,1,1,1
201,NA,0,14,1,1,0
202,0.2776247,1,14,1,1,1
203,NA,0,14,1,1,0
204,0.3052789,1,14,1,1,1
205,0.3109841,1,14,1,1,1
206,0.3335752,1,14,1,1,1
207,0.3360991,1,14,1,1,1
208,0.2728878,1,14,1,1,1
209,NA,0,14,1,1,0
210,0.2837408,1,14,1,1,1
211,NA,0,14,1,1,0
212,NA,0,14,1,1,0
213,0.3099866,1,14,1,1,1
214,0.3433831,1,14,1,1,1
215,0.2841966,1,14,1,1,1
216,0.2920346,1,14,1,1,1
217,0.3264176,1,14,1,1,1
218,0.3079845,1,14,1,1,1
219,0.3136879,1,14,1,1,1
220,0.3456952,1,14,1,1,1
221,NA,0,14,1,0,1
222,0.3024681,1,14,1,1,1
223,NA,0,14,1,1,0
224,0.3172307,1,14,1,1,1
225,0.3065645,1,14,1,1,1
226,0.3635986,1,14,1,1,1
227,0.3010527,1,14,1,1,1
228,NA,0,14,1,1,0
229,0.3239714,1,14,1,1,1
230,NA,0,14,1,1,0
231,0.2742679,1,14,1,1,1
232,0.3153935,1,14,1,1,1
233,NA,0,14,1,1,0
234,NA,0,14,1,1,0
235,0.3833283,1,14,1,1,1
236,NA,0,14,1,1,0
237,0.3147429,1,14,1,1,1
238,NA,0,14,1,0,1
239,0.3635657,1,14,1,1,1
240,0.3471495,1,14,1,1,1
241,NA,0,14,1,1,0
242,NA,0,14,1,0,1
243,0.3213035,1,14,1,1,1
244,0.2850515,1,14,1,1,1
245,0.2765234,1,14,1,1,1
246,0.2708647,1,14,1,1,1
247,0.2825592,1,14,1,1,1
248,NA,0,14,1,1,0
249,NA,0,14,1,1,0
250,0.2800859,1,14,1,1,1
251,NA,0,14,1,1,0
252,NA,0,14,1,1,0
253,0.2942428,1,14,1,1,1
254,0.3371886,1,14,1,1,1
255,0.3523587,1,14,1,1,1
256,0.329543,1,14,1,1,1
257,0.3584306,1,14,1,1,1
258,0.3312171,1,14,1,1,1
259,0.3587722,1,14,1,1,1
260,0.3361293,1,14,1,1,1
261,0.3259318,1,14,1,1,1
262,0.3439994,1,14,1,1,1
263,NA,0,14,1,1,0
264,0.3171281,1,14,1,1,1
265,NA,0,14,1,0,1
266,0.2653983,1,14,1,1,1
267,0.2782297,1,14,1,1,1
268,0.2804236,1,14,1,1,1
269,0.292971,1,14,1,1,1
270,NA,0,14,1,1,0
271,0.2698574,1,14,1,1,1
272,NA,0,14,1,1,0
273,0.3447289,1,14,1,1,1
274,NA,0,14,1,1,0
275,0.2979537,1,14,1,1,1
276,0.3581599,1,14,1,1,1
277,0.3144447,1,14,1,1,1
278,0.3132136,1,14,1,1,1
279,0.3846381,1,14,1,1,1
280,0.2957335,1,14,1,1,1
281,0.3034966,1,14,1,1,1
282,0.3420319,1,14,1,1,1
283,0.2758784,1,14,1,1,1
284,0.2557039,1,14,1,1,1
285,NA,0,14,1,1,0
286,0.2386029,1,14,1,1,1
287,0.2798576,1,14,1,1,1
288,0.2477013,1,14,1,1,1
289,0.2876619,1,14,1,1,1
290,NA,0,14,1,1,0
291,0.2954762,1,14,1,1,1
292,0.3171125,1,14,1,1,1
293,0.3261915,1,14,1,1,1
294,0.3633943,1,14,1,1,1
295,NA,0,14,1,1,0
296,0.3248831,1,14,1,1,1
297,0.3842459,1,14,1,0,0
298,0.2947028,1,14,1,1,1
299,0.2968917,1,14,1,1,1
300,0.300966,1,14,1,1,1
301,0.287615,1,14,1,1,1
302,0.3017833,1,14,1,1,1
303,0.3137322,1,14,1,0,0
304,0.2621704,1,14,1,1,1
305,0.3007954,1,14,1,1,1
306,0.3268658,1,14,1,1,1
307,NA,0,14,1,0,1
308,0.2970133,1,14,1,1,1
309,0.2882115,1,14,1,1,1
310,NA,0,14,1,1,0
311,NA,0,14,1,0,1
312,NA,0,14,1,1,0
313,NA,0,14,1,1,0
314,0.3338104,1,14,1,1,1
315,NA,0,14,1,1,0
316,0.3208683,1,14,1,1,1
317,NA,0,14,1,1,0
318,0.3256377,1,14,1,1,1
319,0.3297277,1,14,1,1,1
320,NA,0,14,1,1,0
321,NA,0,1,1,0,1
322,0.2499031,1,1,1,1,1
323,0.2728782,1,1,1,1,1
324,NA,0,1,1,1,0
325,0.25591,1,1,1,1,1
326,0.3539381,1,1,1,1,1
327,0.2759895,1,1,1,1,1
328,0.3182925,1,1,1,1,1
329,0.2768115,1,1,1,1,1
330,0.1906113,1,1,1,1,1
331,0.219653,1,1,1,1,1
332,0.3048194,1,1,1,1,1
333,0.3437699,1,1,1,1,1
334,0.2430931,1,1,1,1,1
335,0.2336317,1,1,1,1,1
336,0.2408434,1,1,1,1,1
337,0.234318,1,1,1,0,0
338,0.1396765,1,1,1,1,1
339,0.1682516,1,1,1,0,0
340,0.2504056,1,1,1,1,1
341,NA,0,1,1,0,1
342,0.1910306,1,1,1,1,1
343,0.2123198,1,1,1,0,0
344,0.1599152,1,1,1,1,1
345,0.1286741,1,1,1,0,0
346,0.2417519,1,1,1,1,1
347,NA,0,1,1,1,0
348,0.2360557,1,1,1,1,1
349,0.2149366,1,1,1,1,1
350,NA,0,1,1,0,1
351,0.2630179,1,1,1,1,1
352,NA,0,1,1,1,0
353,0.2832353,1,1,1,1,1
354,NA,0,1,1,1,0
355,0.2548681,1,1,1,1,1
356,0.2879807,1,1,1,1,1
357,0.2652853,1,1,1,1,1
358,0.2985435,1,1,1,1,1
359,0.2055251,1,1,1,0,0
360,0.0743424,1,1,1,1,1
361,NA,0,1,1,1,0
362,0.2006445,1,1,1,1,1
363,0.1615029,1,1,1,0,0
364,0.2777223,1,1,1,1,1
365,0.2037091,1,1,1,1,1
366,0.1914096,1,1,1,1,1
367,0.2294273,1,1,1,1,1
368,0.1813256,1,1,1,1,1
369,0.2073433,1,1,1,0,0
370,0.1046675,1,1,1,1,1
371,0.1340677,1,1,1,0,0
372,NA,0,1,1,1,0
373,0.2740006,1,1,1,1,1
374,0.317523,1,1,1,1,1
375,0.1973864,1,1,1,1,1
376,0.2016821,1,1,1,1,1
377,0.2850065,1,1,1,1,1
378,NA,0,1,1,0,1
379,0.3044954,1,1,1,1,1
380,0.2811714,1,1,1,1,1
381,0.2350586,1,1,1,1,1
382,0.3670778,1,1,1,1,1
383,0.2075502,1,1,1,0,0
384,0.253599,1,1,1,1,1
385,0.2477001,1,1,1,1,1
386,0.204727,1,1,1,1,1
387,0.3243812,1,1,1,1,1
388,0.2113616,1,1,1,0,0
389,NA,0,1,1,0,1
390,0.2228869,1,1,1,0,0
391,0.2126377,1,1,1,1,1
392,0.2359871,1,1,1,1,1
393,0.0975151,1,1,1,0,0
394,0.194982,1,1,1,0,0
395,0.073199,1,1,1,1,1
396,0.20806,1,1,1,0,0
397,NA,0,1,1,0,1
398,0.2880797,1,1,1,1,1
399,0.2138803,1,1,1,1,1
400,0.2591296,1,1,1,1,1
401,0.2323666,1,1,1,0,0
402,0.2558323,1,1,1,1,1
403,0.3315002,1,1,1,1,1
404,0.2419661,1,1,1,1,1
405,0.2510389,1,1,1,1,1
406,0.3179587,1,1,1,1,1
407,0.2413909,1,1,1,1,1
408,0.2666562,1,1,1,0,0
409,0.2535546,1,1,1,0,0
410,0.2314027,1,1,1,1,1
411,NA,0,1,1,1,0
412,0.3054194,1,1,1,0,0
413,0.2551454,1,1,1,1,1
414,0.1365179,1,1,1,1,1
415,0.2873876,1,1,1,1,1
416,NA,0,1,1,0,1
417,0.317575,1,1,1,1,1
418,0.3174864,1,1,1,1,1
419,0.265573,1,1,1,1,1
420,0.2881079,1,1,1,1,1
421,0.2683237,1,1,1,1,1
422,0.3202084,1,1,1,1,1
423,NA,0,1,1,1,0
424,0.293772,1,1,1,1,1
425,0.2769819,1,1,1,1,1
426,0.2803768,1,1,1,1,1
427,0.3401985,1,1,1,1,1
428,0.1850143,1,1,1,1,1
429,0.3289932,1,1,1,1,1
430,0.1521403,1,1,1,0,0
431,NA,0,1,1,0,1
432,0.2756744,1,1,1,0,0
433,0.2239548,1,1,1,1,1
434,NA,0,1,1,1,0
435,0.2706205,1,1,1,1,1
436,0.2302759,1,1,1,1,1
437,0.2387462,1,1,1,1,1
438,NA,0,1,1,0,1
439,0.1927312,1,1,1,1,1
440,0.2511996,1,1,1,1,1
441,NA,0,1,1,0,1
442,0.3775887,1,1,1,1,1
443,0.3244214,1,1,1,1,1
444,0.1786282,1,1,1,1,1
445,0.2621292,1,1,1,0,0
446,0.1657869,1,1,1,1,1
447,0.1385319,1,1,1,1,1
448,0.177777,1,1,1,1,1
449,0.1953959,1,1,1,1,1
450,NA,0,1,1,1,0
451,0.2611802,1,1,1,1,1
452,0.3283753,1,1,1,1,1
453,0.1378243,1,1,1,1,1
454,0.216326,1,1,1,1,1
455,NA,0,1,1,1,0
456,0.1963173,1,1,1,1,1
457,0.2348856,1,1,1,0,0
458,NA,0,1,1,0,1
459,0.2686075,1,1,1,1,1
460,0.3288103,1,1,1,1,1
461,0.2894856,1,1,1,1,1
462,0.277601,1,1,1,1,1
463,0.2292804,1,1,1,0,0
464,0.25473,1,1,1,1,1
465,0.2647172,1,1,1,1,1
466,0.320051,1,1,1,1,1
467,0.298611,1,1,1,1,1
468,0.2293366,1,1,1,1,1
469,0.3099492,1,1,1,1,1
470,0.3029716,1,1,1,0,0
471,0.1761942,1,1,1,1,1
472,NA,0,1,1,1,0
473,0.1999529,1,1,1,0,0
474,0.2030849,1,1,1,1,1
475,0.1835326,1,1,1,0,0
476,0.3730345,1,1,1,1,1
477,NA,0,1,1,1,0
478,0.3599976,1,1,1,1,1
479,NA,0,1,1,0,1
480,0.1908993,1,1,1,0,0
481,0.3050954,1,2,1,1,1
482,0.2477613,1,2,1,1,1
483,0.3481531,1,2,1,1,1
484,NA,0,2,1,1,0
485,0.3280512,1,2,1,1,1
486,0.3300176,1,2,1,1,1
487,0.3221775,1,2,1,1,1
488,0.349909,1,2,1,1,1
