CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,20.9479864,None,space,6.061681,21.4391798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.539141,None,space,0.6587555,28.029386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.721316,None,space,0.0119684,29.2124603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2558183,None,space,6.0546279,29.7454778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1683539,None,40.1526871,None,space,0.3596705,40.1526871,None,37.1683539,None,1.065,40.5338508,None,41.6056106,None,None,1,41.6056106,None,43.608914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365,45.1070829,None,46.4772871,None,None,1,46.4772871,None,48.4755124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.715,49.980524,None,51.6995639,None,None,0,51.6995639,None,53.7075894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.015,55.2040049,None,57.2214487,None,None,1,57.2214487,None,59.2275384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,60.7274773,None,61.9714476,None,None,1,61.9714476,None,63.9764415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,65.4762569,None,66.9699767,None,None,1,66.9699767,None,68.9749604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,fencog,1,Post,2021_Jul_06_1155,N-Back (New Version 2021),2021.1.4,120.356351
