CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,26.2378778,None,space,3.9805244,26.729675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.742048,None,space,0.1677569,31.2388785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4439957,None,space,0.2530885,31.9372571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2155966,None,space,0.3994752,32.7036271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4200042,None,37.4103158,None,space,9.6918525,37.4103158,None,34.4200042,None,1.215,47.1208381,None,48.3426305,None,None,1,48.3426305,None,50.3490714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,51.8482703,None,52.9890572,None,None,1,52.9890572,None,54.9967336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415,56.4957983,None,57.9136059,None,None,0,57.9136059,None,59.9213268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565,61.419341,None,62.9872866,None,None,1,62.9872866,None,64.9931468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,66.4927572,None,67.5359339,None,None,1,67.5359339,None,69.5360988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,71.0414304,None,72.982961,None,None,1,72.982961,None,74.9820081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P008,fencog,1,Post,2021_Aug_13_1114,N-Back (New Version 2021),2021.1.4,119.9666492
