CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,68.07452190015465,None,space,2.5097105000168085,68.55943740019575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.12247000006028,None,space,533.475787299918,71.61747360019945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.1264899000525,None,space,13.562563100131229,605.618687500013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.2074495002162,None,space,7.371407800121233,619.6977712002117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.4381360001862,None,631.4198306000326,None,space,0.02578429994173348,631.4198306000326,None,628.4381360001862,None,1.565,631.4695692001842,None,633.0376078002155,None,None,0,633.0376078002155,None,635.0450730000157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,636.5419355002232,None,638.3362212001812,None,None,1,638.3362212001812,None,640.341424100101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,641.8404211001471,None,643.0860782000236,None,None,1,643.0860782000236,None,645.0895918000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.765,646.5889177001081,None,648.3589100001846,None,None,1,648.3589100001846,None,650.3629410001449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,651.8623025000561,None,653.0048571000807,None,None,1,653.0048571000807,None,655.0119768001605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.215,656.5109927000012,None,657.7348959001247,None,None,1,657.7348959001247,None,659.7350272000767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P010,fencog,2,Pre,2021_Sep_06_1130,N-Back (New Version 2021),2021.1.4,120.79176587732738,
