CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,26.8965327,None,space,24.9805443,27.3884702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4035194,None,space,19.0948497,52.8901656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0152547,None,space,33.563223,72.5095199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1011817,None,space,34.1296029,106.5910372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0795874,None,145.0642928,None,space,36.800415,145.0642928,None,142.0795874,None,1.665,181.8842169,None,183.5570242,None,None,0,183.5570242,None,185.562932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,187.0580044,None,188.3550147,None,None,1,188.3550147,None,190.3625075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,191.8567818,None,192.9996003,None,None,1,192.9996003,None,195.002531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.765,196.5053728,None,198.2726138,None,None,1,198.2726138,None,200.279306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315,201.7788363,None,203.0965517,None,None,1,203.0965517,None,205.1028685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,206.6023792,None,208.0455891,None,None,1,208.0455891,None,210.0513896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,N,None,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.015,211.550998,None,213.5705118,None,None,1,213.5705118,None,215.5748233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,m,None,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265,217.0741909,None,218.3470913,None,None,1,218.3470913,None,220.3484514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.065,221.8479066,None,222.9159633,None,space,1,222.9159633,None,223.3163253,None,0.3881046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,2,Pre,2021_Sep_07_1141,N-Back (New Version 2021),2021.1.4,119.952115
