CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,39.2294971,None,space,20.2638385,39.7194024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0182513,None,space,305.1417487,60.5136916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.6923003,None,space,0.7929577,366.1742675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.9994083,None,space,1.0050178,367.4903623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.8541502,None,372.8397319,None,space,1.6957116,372.8397319,None,369.8541502,None,1.265,374.5593118,None,375.8328513,None,None,1,375.8328513,None,377.8344334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,379.3376,None,380.9800129,None,None,1,380.9800129,None,382.9848387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,384.4843734,None,385.9783621,None,space,1,385.9783621,None,386.400727,None,0.4129772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,387.8999331,None,388.9415991,None,None,1,388.9415991,None,390.9502113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.765,392.448884,None,394.2193659,None,None,1,394.2193659,None,396.222772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,397.7220892,None,399.3236986,None,None,1,399.3236986,None,401.3212794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P011,fencog,1,Post,2021_Sep_15_1045,N-Back (New Version 2021),2021.1.4,120.0366352
