CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,34.99013250001008,None,space,128.32745470001828,35.47915460000513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.85091809998266,None,space,6.927497299970128,164.3421274999855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.32600430003367,None,space,10.263243999972474,171.8143817000091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.10426029999508,None,space,7.067438099998981,182.59443300002022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.04805699997814,None,194.0336788999848,None,space,1.2644866000046022,194.0336788999848,None,191.04805699997814,None,1.865,195.32396409998182,None,197.19184029998723,None,space,0,0.3893343000090681,197.19184029998723,None,197.5935204999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,199.0970643000328,None,200.99279480002588,None,None,1,,200.99279480002588,None,202.99714039999526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,204.49553389998619,None,206.18730629998026,None,space,1,0.3862961000413634,206.18730629998026,None,206.5869296999881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,208.08729240001412,None,209.72778970003128,None,None,1,,209.72778970003128,None,211.73499460000312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,213.23511750000762,None,214.2784031999763,None,None,1,,214.2784031999763,None,216.28351779998047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.015,217.78321199998027,None,219.80153110000538,None,None,1,,219.80153110000538,None,221.80644570000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P016,fencog,1,Pre,2021_Oct_25_1225,N-Back (New Version 2021),2021.1.4,120.2022763916716,
