CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,37.7721470000688,None,space,89.52346689999104,38.26131460000761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.81520210008603,None,space,8.485904200002551,128.30971050006337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.83168040006422,None,space,23.10475109994877,137.32425170007627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.46006409998517,None,space,10.789412699989043,160.9502004000824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.14325560000725,None,176.130499000079,None,space,0.5850879999343306,176.130499000079,None,173.14325560000725,None,1.99,176.76331210008357,None,178.75507640000433,None,None,1,178.75507640000433,None,180.76184430008288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,182.25997750007082,None,183.30282760004047,None,None,1,183.30282760004047,None,185.30923210002948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.815,186.80999990005512,None,188.62449890002608,None,space,1,188.62449890002608,None,189.00071470008697,None,0.3641552000772208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,190.50747630000114,None,191.97627860005014,None,None,1,191.97627860005014,None,193.97794070001692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.915,195.4810385000892,None,197.4006452000467,None,None,1,197.4006452000467,None,199.40449240000453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,200.90444439998828,None,202.58076680009253,None,None,1,202.58076680009253,None,204.57845740008634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P017,fencog,1,Pre,2021_Oct_28_1124,N-Back (New Version 2021),2021.1.4,120.01041703940268,
