CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,16.7232841,None,space,5.6116384,17.2124561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8726737,None,space,11.561886,23.3610172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.965547,None,space,11.5958047,35.4504661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0957303,None,space,6.2913138,47.587291,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.456534,None,58.4599074,None,space,2.7143984,58.4599074,None,55.456534,None,1.165,61.1973507,None,62.3737888,None,None,0,62.3737888,None,64.3825343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415,65.8725478,None,67.3021658,None,None,1,67.3021658,None,69.3092126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,70.7960507,None,72.1910541,None,None,1,72.1910541,None,74.1932999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,75.6950123,None,76.788149,None,None,1,76.788149,None,78.7961642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,80.2948617,None,81.9656415,None,None,1,81.9656415,None,83.9659481,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,85.4669727,None,86.5151932,None,None,1,86.5151932,None,88.5130779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,N,None,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265,90.0158235,None,91.2887521,None,None,1,91.2887521,None,93.290208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,m,None,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,94.7891212,None,95.937983,None,None,1,95.937983,None,97.9389997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315,99.437796,None,100.7578183,None,space,1,100.7578183,None,101.098285,None,0.3277168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615,102.6056581,None,104.2291613,None,space,1,104.2291613,None,104.6596645,None,0.4099433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,2,Pre,2021_Oct_29_1208,N-Back (New Version 2021),2021.1.4,120.0772818
