CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,57.7873146,None,space,0.3114814,58.2762749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6237236,None,space,30.5014087,59.1182838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.660977,None,space,4.956617,90.1510201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1323126,None,space,1.1951343,95.6243466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2222567,None,101.2071469,None,space,1.4283571,101.2071469,None,98.2222567,None,1.64,102.666043,None,104.3150207,None,None,1,104.3150207,None,106.3215427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,107.8195698,None,108.8625568,None,None,1,108.8625568,None,110.8689381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.915,112.3686317,None,114.2870038,None,space,1,114.2870038,None,114.5928931,None,0.2922668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.215,116.0921621,None,117.3102357,None,space,0,117.3102357,None,117.7902802,None,0.4612082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,119.2914846,None,121.1855566,None,None,1,121.1855566,None,123.1934352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,124.6898748,None,125.7815282,None,space,0,125.7815282,None,126.1174583,None,0.3178498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P018,fencog,1,Post,2021_Nov_05_1155,N-Back (New Version 2021),2021.1.4,119.6961154
