CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,18.03297489999386,None,space,469.0507420000067,18.52502519999689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.61003260000143,None,space,9.19250020000618,488.09506609999517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.32736280000245,None,space,13.957996300014202,497.8175084999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.8069605000055,None,space,11.375171599996975,512.296399400002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0765607000067,None,528.0595818000002,None,space,8.612005199989653,528.0595818000002,None,525.0765607000067,None,1.29,536.6999798000033,None,537.9984583000041,None,None,1,537.9984583000041,None,540.0118504999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.815,541.5037021000026,None,543.3216971999937,None,None,1,543.3216971999937,None,545.3274845999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,546.827109100006,None,548.4212866000016,None,space,1,548.4212866000016,None,548.7354232999933,None,0.29847670000162907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,550.242554299999,None,551.359747399998,None,None,1,551.359747399998,None,553.3668636999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,554.8663722000056,None,555.9590503999934,None,None,1,555.9590503999934,None,557.9654239999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,559.4649654999957,None,561.2581584,None,None,1,561.2581584,None,563.2639414000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P020,fencog,1,Pre,2021_Nov_09_1129,N-Back (New Version 2021),2021.1.4,120.03577067351709,
