CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,18.0405686,None,space,328.4975992,18.5321958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0630685,None,space,9.1340891,347.5596848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.7298517,None,space,12.2219335,357.2238848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.4714938,None,space,8.4282335,369.9615634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.8163626,None,382.799439,None,space,8.894664,382.799439,None,379.8163626,None,1.49,391.7296131,None,393.2235793,None,None,1,393.2235793,None,395.2291994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.815,396.7279036,None,398.5443448,None,None,1,398.5443448,None,400.5515552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.215,402.0511163,None,403.2691026,None,space,1,403.2691026,None,403.5931846,None,0.3124851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,405.1002028,None,406.2173256,None,None,1,406.2173256,None,408.2243269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,409.7238142,None,411.1159339,None,None,1,411.1159339,None,413.1228158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,414.6223965,None,416.5139227,None,None,1,416.5139227,None,418.5163261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565,420.0207837,None,421.5869807,None,space,1,421.5869807,None,421.9121685,None,0.314635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,423.4114405,None,425.2531025,None,space,1,425.2531025,None,425.6608149,None,0.4004572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,427.1603326,None,428.2518712,None,None,1,428.2518712,None,430.2510825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,431.7506532,None,433.2918682,None,None,1,433.2918682,None,435.2915827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P021,fencog,1,Pre,2021_Dec_10_1314,N-Back (New Version 2021),2021.1.4,119.9055145
