CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,25.0198512,None,space,77.271201,25.5039224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8131228,None,space,7.6924612,103.3064587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0473609,None,space,9.3168879,111.5381194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8844122,None,space,14.6067122,121.3762567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.3902624,None,140.3719457,None,space,0.8189402,140.3719457,None,137.3902624,None,1.79,141.2154773,None,143.0133213,None,None,1,143.0133213,None,145.0198645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,146.5180669,None,147.9187055,None,None,1,147.9187055,None,149.9167277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,151.4166469,None,153.4109468,None,space,1,153.4109468,None,153.7914311,None,0.3718738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,155.2999476,None,156.5438664,None,None,1,156.5438664,None,158.5477835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,160.0474669,None,161.5890594,None,None,1,161.5890594,None,163.592083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,165.0959506,None,166.7383781,None,None,1,166.7383781,None,168.744889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,170.2444459,None,171.9362975,None,space,1,171.9362975,None,172.2954766,None,0.3505534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,173.8060018,None,175.1020812,None,space,1,175.1020812,None,175.6684577,None,0.5526918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365,177.175335,None,178.5482713,None,None,1,178.5482713,None,180.5495193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,182.0492772,None,183.7152842,None,None,1,183.7152842,None,185.7187681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),a,None,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.254485,None,190.2405919,None,space,0.534501,190.2405919,None,187.254485,None,1.99,190.8021905,None,192.7991233,None,None,1,192.7991233,None,194.8082716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),x,None,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415,196.3034491,None,197.7195588,None,None,1,197.7195588,None,199.7190719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P022,dencog,1,Pre,2022_Jan_19_1137,N-Back (New Version 2021),2021.1.4,120.2009764
