CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,18.693155099987052,None,space,177.34545510000316,19.183251699985703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.5612182999903,None,space,2.5687051999848336,197.0562465999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.6644898999948,None,space,4.821039100002963,200.1556517999852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.00415870000143,None,space,6.897200500010513,205.49567959998967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.80359140000655,None,216.7862697999808,None,space,0.5503630999883171,216.7862697999808,None,213.80359140000655,None,1.64,217.3671274999797,None,219.01094449998345,None,space,1,0.4218655999866314,219.01094449998345,None,219.44646419998026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,220.94861120000132,None,222.09148549998645,None,None,1,,222.09148549998645,None,224.09776030000648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.065,225.59727889997885,None,226.6671811999986,None,None,1,,226.6671811999986,None,228.6712977999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,230.17090559998178,None,231.76275900000473,None,None,1,,231.76275900000473,None,233.76985909999348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.915,235.26912029998493,None,237.18609050000669,None,None,1,,237.18609050000669,None,239.19332619998022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615,240.69281129998853,None,242.3124550000066,None,None,1,,242.3124550000066,None,244.31666949999635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,N,None,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,245.8163571000041,None,247.70957370000542,None,None,1,,247.70957370000542,None,249.71524359998875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,m,None,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,251.2143478000071,None,252.95644759997958,None,None,1,,252.95644759997958,None,254.96345369998016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265,256.46318849999807,None,257.72939150000457,None,space,1,0.3835558000137098,257.72939150000457,None,258.12239040000713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P024,FENCOG,2,Pre,2022_Feb_11_1119,N-Back (New Version 2021),2021.1.4,120.25807383156045,
