CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,22.061017600000014,None,space,87.92973759999995,22.556034799999907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.51864899999964,None,space,36.16776859999982,111.01371179999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.21848959999988,None,space,9.293971700000384,147.71150469999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.03587049999987,None,space,15.568455300000096,157.52517659999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.46764819999999,None,177.4536481,None,space,0.13585269999975935,177.4536481,None,174.46764819999999,None,1.565,177.61502109999992,None,179.18775779999987,None,None,1,179.18775779999987,None,181.19302100000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,182.6919810999998,None,184.1597512999997,None,None,1,184.1597512999997,None,186.1659384999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,187.66551619999973,None,189.40918519999968,None,space,1,189.40918519999968,None,189.87348479999991,None,0.4522412000001168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,191.37269399999968,None,193.3681434,None,None,1,193.3681434,None,195.37138789999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,196.87114459999975,None,198.1639799999998,None,None,1,198.1639799999998,None,200.17006839999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265,201.66972209999994,None,202.93753709999964,None,None,1,202.93753709999964,None,204.9435113999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P026,FENCOG,1,Pre,2022_Feb_23_1118,N-Back (New Version 2021),2021.1.4,119.96808848856989,
