CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,18.589021199964918,None,space,98.10813810001127,19.078049600007944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.21922879997874,None,space,13.03009590000147,117.71625830000266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.78048059996217,None,space,12.211872300016694,131.27070130000357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.52694519999204,None,space,7.657673200010322,144.02475149999373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.07716739998432,None,156.0642208000063,None,space,0.5539231000002474,156.0642208000063,None,153.07716739998432,None,1.465,156.64153899997473,None,158.1138401000062,None,space,1,0.47255790000781417,158.1138401000062,None,158.60100610001246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565,160.10292269999627,None,161.67171059997054,None,None,1,,161.67171059997054,None,163.67681109998375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,165.17811350000557,None,166.42192639998393,None,None,1,,166.42192639998393,None,168.4250422999612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,169.9246048000059,None,171.91779949999182,None,None,1,,171.91779949999182,None,173.9209578000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.915,175.42345030000433,None,177.3426154999761,None,None,1,,177.3426154999761,None,179.34724829997867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,180.84674389997963,None,182.03965039999457,None,None,1,,182.03965039999457,None,184.04587590001756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P029,fencog,2,Pre,2022_Mar_09_1143,N-Back (New Version 2021),2021.1.4,120.16992027407926,
