CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,45.9075689,None,space,12.1499145,46.3998385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6094484,None,space,25.2217306,59.1038853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3864202,None,space,4.069498,84.8799681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9952849,None,space,1.3985658,89.4867452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4841854,None,95.4859697,None,space,2.3912994,95.4859697,None,92.4841854,None,1.59,97.9154102,None,99.5218095,None,None,1,99.5218095,None,101.5196905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,103.0169478,None,104.260024,None,None,1,104.260024,None,106.2653716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415,107.7638377,None,109.1868819,None,space,1,109.1868819,None,109.5422555,None,0.338546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,111.0479504,None,112.9455042,None,None,1,112.9455042,None,114.9450429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,116.444636,None,117.7376563,None,None,1,117.7376563,None,119.7422075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.965,121.243206,None,123.2135338,None,None,1,123.2135338,None,125.218584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,126.7165368,None,127.8367406,None,space,1,127.8367406,None,128.2277854,None,0.3765595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,129.7341428,None,131.4748122,None,space,1,131.4748122,None,131.9484966,None,0.4587841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,133.449318,None,134.6435114,None,None,1,134.6435114,None,136.6519754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,138.1465716,None,139.7944807,None,None,1,139.7944807,None,141.7997411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),a,None,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3395434,None,146.3246379,None,space,1.3137672,146.3246379,None,143.3395434,None,1.965,147.6696037,None,149.6430894,None,None,1,149.6430894,None,151.6485036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),x,None,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,153.1418811,None,154.239375,None,None,1,154.239375,None,156.2383934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),g,None,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,157.7408295,None,159.7366288,None,None,1,159.7366288,None,161.7349753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),G,space,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,163.2391194,None,164.3634999,None,space,1,164.3634999,None,165.0010486,None,0.6179095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),u,None,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.165,166.5059992,None,167.679786,None,None,1,167.679786,None,169.6790048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),y,None,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,171.178353,None,172.8523815,None,None,1,172.8523815,None,174.8559987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),y,space,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,176.3522469,None,178.1438548,None,space,1,178.1438548,None,178.6278918,None,0.4694007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
Conditions/Version_1Pr/oneback(1)_v1.xlsx,New rule: Press 'space' when you see 1-back (i.e. the same letter as the one that appeared 1 letter ago.),k,None,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,180.1353499,None,181.5272938,None,None,1,181.5272938,None,183.5306807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P033,fencog,1,Post,2022_Apr_12_1224,N-Back (New Version 2021),2021.1.4,120.1966417
