CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,19.9201609,None,space,28.2919522,20.4086049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7558475,None,space,7.7384844,49.2500997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0490258,None,space,8.5608004,57.5399403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1523592,None,space,2.6636028,66.6449686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9187314,None,73.9054353,None,space,0.8030973,73.9054353,None,70.9187314,None,1.815,74.7511672,None,76.5780735,None,None,1,76.5780735,None,78.5772825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,80.0735309,None,81.5205669,None,None,1,81.5205669,None,83.5278479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,85.0221083,None,86.622571,None,space,1,86.622571,None,86.9337716,None,0.2942326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,88.4395238,None,90.1864848,None,None,1,90.1864848,None,92.1920811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,93.6861637,None,95.5863856,None,None,1,95.5863856,None,97.5847694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315,99.0843005,None,100.4017479,None,None,1,100.4017479,None,102.4083101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P042,fencog,1,Post,2022_May_17_1150,N-Back (New Version 2021),2021.1.4,120.4759765
