CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,43.01561810000567,None,space,114.28094979998423,43.50704270001734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.82066129997838,None,space,9.392675600014627,158.31541639997158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.74918689997867,None,space,10.486373500025366,168.23764060001122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.7514803999802,None,space,12.529673299985006,179.24259789998177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1660446000169,None,196.15516889997525,None,space,0.7610952999675646,196.15516889997525,None,193.1660446000169,None,1.79,196.9522161000059,None,198.7475786000141,None,None,1,198.7475786000141,None,200.75195269996766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,202.25165489997016,None,204.14321489998838,None,None,1,204.14321489998838,None,206.1505495000165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,207.64998529996956,None,209.11904710001545,None,space,1,209.11904710001545,None,209.6078542000032,None,0.47712529997806996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.965,211.10734619997675,None,213.07588149997173,None,None,1,213.07588149997173,None,215.08385230001295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.015,216.58070439996663,None,218.59838629997103,None,None,1,218.59838629997103,None,220.6045614000177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,222.10415510000894,None,223.74678059999133,None,None,1,223.74678059999133,None,225.75307809998048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P043,fencog,1,Pre,2022_May_12_1116,N-Back (New Version 2021),2021.1.4,120.03375346901586,
