CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,45.1451665,None,space,49.4142138,45.6386976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0868471,None,space,3.4626761,95.5824441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0982931,None,space,1.406615,99.5903719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.023058,None,space,2.2424318,101.5145591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1532855,None,108.1304334,None,space,1.6745977,108.1304334,None,105.1532855,None,1.315,109.8411813,None,111.1647779,None,space,1,0.5682018,111.1647779,None,111.7488395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,113.2519959,None,114.6028305,None,None,1,,114.6028305,None,116.6010203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.165,118.1005367,None,119.2693545,None,None,1,,119.2693545,None,121.2745641,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,122.7740908,None,124.4668392,None,None,1,,124.4668392,None,126.4730258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.215,127.9724563,None,129.1915609,None,None,1,,129.1915609,None,131.1966707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.065,132.6962041,None,133.7654166,None,None,1,,133.7654166,None,135.7703588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P044,fencog,2,Post,2022_May_25_1206,N-Back (New Version 2021),2021.1.4,119.6637449
