CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,26.612619700000323,None,space,366.06209880000006,27.108073800000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.2057101999999,None,space,6.414560500000334,393.6918015000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.1413407,None,space,14.826693899999555,400.6315527000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.4874792999999,None,space,7.01715029999923,415.9770687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.37579470000037,None,427.3594436000003,None,space,0.7148272999993424,427.3594436000003,None,424.37579470000037,None,1.115,428.10659080000005,None,429.23482090000016,None,space,1,0.3435258999998041,429.23482090000016,None,429.5934713000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,431.0965898000004,None,432.2998703000003,None,None,1,,432.2998703000003,None,434.2958159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,435.7953951999998,None,437.2871178000005,None,None,1,,437.2871178000005,None,439.2943083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,440.7939683000004,None,442.5866337000007,None,None,1,,442.5866337000007,None,444.59274430000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,446.09237630000007,None,447.48508519999996,None,None,1,,447.48508519999996,None,449.49507970000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,450.99061580000034,None,452.53255309999986,None,None,1,,452.53255309999986,None,454.53154429999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P046,fencog,2,Pre,2022_May_24_1115,N-Back (New Version 2021),2021.1.4,120.12517042713247,
