CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,KeyPractice.rt,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,62.2484422,None,space,120.1305639,62.7409671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.904368,None,space,53.7774949,183.3973707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.2076964,None,space,18.9483332,237.6983046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.6765588,None,space,13.2393685,257.1674281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,Z,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.803507,None,274.7882754,None,space,1.3624048,274.7882754,None,271.803507,None,1.715,276.1821716,None,277.908087,None,None,1,277.908087,None,279.9114242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,r,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.215,281.4094296,None,282.6270821,None,None,1,282.6270821,None,284.6334067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,286.132963,None,288.0266318,None,space,1,288.0266318,None,288.5750626,None,0.5402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615,290.0816124,None,291.6985843,None,None,1,291.6985843,None,293.7057934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,w,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,295.2052953,None,296.3968786,None,None,1,296.3968786,None,298.3960245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,e,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,299.8955773,None,301.3680274,None,None,1,301.3680274,None,303.3695708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
Conditions/Version_1Pr/zeroback(1)_v1.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,304.8691567,None,306.461146,None,space,1,306.461146,None,306.7785281,None,0.3056724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P047,FENCOG,1,Pre,2022_May_26_1101,N-Back (New Version 2021),2021.1.4,119.8257733
