CondFileP,InstructionsP,LettersDisplayedP,CorrectnessP,CondFile,Instructions,LettersDisplayed,Correctness,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,InnerLoopPractice.thisRepN,InnerLoopPractice.thisTrialN,InnerLoopPractice.thisN,InnerLoopPractice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InnerLoop.thisRepN,InnerLoop.thisTrialN,InnerLoop.thisN,InnerLoop.thisIndex,TaskVersionText.started,TaskVersionText.stopped,InstrKey1.keys,InstrKey1.rt,InstrKey1.started,InstrKey1.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PractIn1.started,PractIn1.stopped,PractIn2.started,PractIn2.stopped,PractInstructionPass.keys,PractInstructionPass.rt,PractInstructionPass.started,PractInstructionPass.stopped,PractBlock1.started,PractBlock1.stopped,ISIjitterPractice,ISI_Pract_Fixation.started,ISI_Pract_Fixation.stopped,N_backP.started,N_backP.stopped,KeyPractice.keys,KeyPractice.corr,KeyPractice.rt,KeyPractice.started,KeyPractice.stopped,text_4.started,text_4.stopped,TransitionText.started,TransitionText.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,MainInt1.started,MainInt1.stopped,MainInt2.started,MainInt2.stopped,InstructionPass.keys,InstructionPass.rt,InstructionPass.started,InstructionPass.stopped,Blocks1.started,Blocks1.stopped,ISIjitter,N_backD.started,N_backD.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,participant,Study Name,Task Version (required to run),PRE/POST,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,28.250749700000142,None,space,100.69371750000028,28.746539199999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4775568,None,space,7.016980399999738,129.96720890000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.02090940000016,None,space,7.965104599999904,137.51509639999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.5079635000002,None,space,9.156606999999894,145.99596340000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.50458720000006,None,159.48457910000025,None,space,1.17154359999995,159.48457910000025,None,156.50458720000006,None,1.54,160.6910287999999,None,162.23578300000008,None,space,1,0.3003444999999374,162.23578300000008,None,162.55688220000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,R,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,164.0564303000001,None,165.90401790000033,None,None,1,,165.90401790000033,None,167.90532310000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,p,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,169.4048846999999,None,171.2965938000002,None,None,1,,171.2965938000002,None,173.29522910000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,O,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.915,174.79497140000012,None,176.71722880000016,None,None,1,,176.71722880000016,None,178.7187796000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,i,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,180.21836359999998,None,181.96030880000035,None,None,1,,181.96030880000035,None,183.96722799999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,U,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,185.4668257000003,None,186.95922420000034,None,None,1,,186.95922420000034,None,188.96552410000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,N,None,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.965,190.46524690000024,None,192.4311419999999,None,None,1,,192.4311419999999,None,194.44038619999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,m,None,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.065,195.9388024,None,197.0075968000001,None,None,1,,197.0075968000001,None,199.0128193999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,x,space,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,200.51236700000027,None,201.85346190000018,None,space,1,0.9707389000000148,201.85346190000018,None,202.8379941000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
Conditions/Version_2Pr/zeroback(1)_v2.xlsx,Rule: Press 'space' when you see the letter 'x' or 'X'.,X,space,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,204.34633090000034,None,205.81253180000022,None,space,1,0.5876268000001801,205.81253180000022,None,206.41135870000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P052,fencog,2,Pre,2022_Jun_11_1130,N-Back (New Version 2021),2021.1.4,119.91155323840198,
