Participant.ID,PRE.POST,Trial_type,LR_oldmodel,Invtemp_oldmodel,OutSens_recipmodel,Invtemp_recipmodel,LR_recipmodel,LR_inv_recipmodel,nll_1_new_rewsens,nll_2_new_pess
P001,PRE,Punishment,-2.175798981,3.896319876,1.028104423,1.028104423,-2.175798981,-2.175798981,403.2461135,422.5166815
P002,PRE,Punishment,-1.334413172,1.528535391,0.144210842,0.144210842,-1.334413172,-1.334413172,397.2061269,414.8569804
P003,PRE,Punishment,-0.587908021,0.390595658,-1.152510377,-1.152510377,-0.587908021,-0.587908021,389.5021419,391.9141499
P004,PRE,Punishment,-1.332552819,0.899217967,-1.534611645,-1.534611645,-1.332552819,-1.332552819,389.2808027,390.5437116
P005,PRE,Punishment,-0.136858321,2.171809898,-0.725107342,-0.725107342,-0.136858321,-0.136858321,390.8551124,396.7688165
P006,PRE,Punishment,-0.578387854,0.553383474,-1.41865345,-1.41865345,-0.578387854,-0.578387854,389.1521411,390.7250992
P007,PRE,Punishment,-1.561904333,0.204656174,-1.446757972,-1.446757972,-1.561904333,-1.561904333,389.4261699,390.5622752
P008,PRE,Punishment,-3.516904142,0.461519184,1.203301454,1.203301454,-3.516904142,-3.516904142,401.2537646,412.883497
P009,PRE,Punishment,-3.709155734,3.176301545,1.83448376,1.83448376,-3.709155734,-3.709155734,402.1921205,413.6956239
P010,PRE,Punishment,-1.125253794,0.184036977,-0.663484512,-0.663484512,-1.125253794,-1.125253794,391.1107573,397.1023201
P011,PRE,Punishment,-1.493801781,0.383747567,0.318034726,0.318034726,-1.493801781,-1.493801781,398.8705789,418.0931625
P012,PRE,Punishment,-2.750186953,0.00344952,0.303677667,0.303677667,-2.750186953,-2.750186953,396.6928456,406.9327117
P013,PRE,Punishment,-0.453605102,0.313297893,-0.638044519,-0.638044519,-0.453605102,-0.453605102,391.5291472,398.9318053
P014,PRE,Punishment,-2.963228343,2.734045531,1.768601428,1.768601428,-2.963228343,-2.963228343,401.7681698,415.7402399
P015,PRE,Punishment,-1.043146377,0.177553496,-1.202115575,-1.202115575,-1.043146377,-1.043146377,389.5102343,391.7036965
P016,PRE,Punishment,-2.091354151,-0.108501296,-0.621765901,-0.621765901,-2.091354151,-2.091354151,391.5198069,396.2480927
P017,PRE,Punishment,-1.586759903,0.621716616,-1.481269507,-1.481269507,-1.586759903,-1.586759903,389.339214,390.4546594
P018,PRE,Punishment,-3.230266243,3.10181356,1.93212451,1.93212451,-3.230266243,-3.230266243,401.3998259,413.8827696
P020,PRE,Punishment,-2.057640437,0.239582267,-1.193698924,-1.193698924,-2.057640437,-2.057640437,389.9359166,391.2600832
P021,PRE,Punishment,-2.267008955,0.940368347,1.011622034,1.011622034,-2.267008955,-2.267008955,403.2315004,422.9156189
P022,PRE,Punishment,-1.929356309,0.090470314,-0.313487175,-0.313487175,-1.929356309,-1.929356309,393.2926301,402.4146888
P023,PRE,Punishment,-0.421799146,3.65865398,0.95070182,0.95070182,-0.421799146,-0.421799146,399.7732192,417.060441
P024,PRE,Punishment,-3.709208412,3.229574638,1.830024824,1.830024824,-3.709208412,-3.709208412,402.3159053,413.9959151
P025,PRE,Punishment,-1.583946269,1.361673662,-0.923858661,-0.923858661,-1.583946269,-1.583946269,390.2604156,393.6904137
P026,PRE,Punishment,-0.829325572,3.115723746,0.215417299,0.215417299,-0.829325572,-0.829325572,396.8912531,414.0169812
P027,PRE,Punishment,-1.38682422,2.503699898,0.309057592,0.309057592,-1.38682422,-1.38682422,399.0209214,419.4076652
P028,PRE,Punishment,-2.281183986,3.503172652,1.513888127,1.513888127,-2.281183986,-2.281183986,400.7724578,414.8879334
P029,PRE,Punishment,-0.555038206,0.492907601,-0.672388141,-0.672388141,-0.555038206,-0.555038206,391.1609666,397.6201033
P030,PRE,Punishment,-1.125306549,-0.022934825,-0.138657474,-0.138657474,-1.125306549,-1.125306549,394.8351474,408.2677174
P031,PRE,Punishment,-1.04344678,0.816043713,-1.194113631,-1.194113631,-1.04344678,-1.04344678,389.5947451,391.9384691
P032,PRE,Punishment,-1.589328827,3.230357394,0.840901705,0.840901705,-1.589328827,-1.589328827,401.4658084,422.0621629
P033,PRE,Punishment,-0.358846494,0.779429349,-1.064116381,-1.064116381,-0.358846494,-0.358846494,389.756027,392.9327948
P034,PRE,Punishment,-0.80465663,0.837588894,-1.21882271,-1.21882271,-0.80465663,-0.80465663,389.503719,391.8321767
P035,PRE,Punishment,-3.614526743,0.441787486,1.477462197,1.477462197,-3.614526743,-3.614526743,402.3307816,415.1908073
P036,PRE,Punishment,-0.733531799,0.835428287,-0.163622973,-0.163622973,-0.733531799,-0.733531799,393.7550557,406.1870978
P037,PRE,Punishment,-1.591573279,0.184603406,-0.299284983,-0.299284983,-1.591573279,-1.591573279,392.9495071,402.1012792
P038,PRE,Punishment,-0.639282077,0.59923128,-0.384317886,-0.384317886,-0.639282077,-0.639282077,392.2304271,401.0138963
P039,PRE,Punishment,-2.045448332,0.863893998,0.741126693,0.741126693,-2.045448332,-2.045448332,400.5425771,419.0091171
P040,PRE,Punishment,-1.329882184,2.531422982,0.012695752,0.012695752,-1.329882184,-1.329882184,394.8931742,408.138841
P041,PRE,Punishment,-1.342882204,3.239062238,0.871536914,0.871536914,-1.342882204,-1.342882204,400.2361932,419.2217015
P042,PRE,Punishment,-2.101861957,3.074758151,-0.174976205,-0.174976205,-2.101861957,-2.101861957,393.869803,403.2175375
P043,PRE,Punishment,-0.480537336,2.80540789,0.192552385,0.192552385,-0.480537336,-0.480537336,396.6962731,413.26609
P044,PRE,Punishment,-2.435746676,2.595362808,0.748598381,0.748598381,-2.435746676,-2.435746676,400.7322388,418.6765999
P045,PRE,Punishment,-1.650080953,3.564595623,1.225485355,1.225485355,-1.650080953,-1.650080953,400.362218,416.6028998
P046,PRE,Punishment,-0.793496171,0.176969029,-1.091176726,-1.091176726,-0.793496171,-0.793496171,389.8395307,393.0279546
P047,PRE,Punishment,-3.235261236,2.948354787,1.635223345,1.635223345,-3.235261236,-3.235261236,403.0905656,418.2897056
P048,PRE,Punishment,-1.592170508,-0.055051902,-0.75495674,-0.75495674,-1.592170508,-1.592170508,391.1798024,396.8562488
P049,PRE,Punishment,-1.838867331,-0.181417387,-0.118083897,-0.118083897,-1.838867331,-1.838867331,394.5824401,405.8840226
P050,PRE,Punishment,-1.491943444,0.03986022,-1.285074756,-1.285074756,-1.491943444,-1.491943444,389.5611629,391.2836018
P051,PRE,Punishment,-1.669618851,0.588481895,-1.503726725,-1.503726725,-1.669618851,-1.669618851,389.403801,390.4212732
P052,PRE,Punishment,-1.823488996,-0.171599667,-1.102992023,-1.102992023,-1.823488996,-1.823488996,390.0946798,392.3241427
P053,PRE,Punishment,-2.359566722,2.303183016,0.306586008,0.306586008,-2.359566722,-2.359566722,397.7506829,412.2624231
P054,PRE,Punishment,-1.094700883,0.135197463,-0.879341013,-0.879341013,-1.094700883,-1.094700883,390.2357753,394.1292802
P001,POST,Punishment,-3.744125657,1.332216417,2.28930029,2.28930029,-3.744125657,-3.744125657,400.4392116,410.1606566
P002,POST,Punishment,-0.841931943,0.337036438,-1.671921147,-1.671921147,-0.841931943,-0.841931943,389.0956067,390.3750815
P003,POST,Punishment,-0.750027277,0.200554758,-0.475607988,-0.475607988,-0.750027277,-0.750027277,392.0852092,400.5706395
P004,POST,Punishment,-1.645303633,-0.027818657,-0.75989691,-0.75989691,-1.645303633,-1.645303633,390.7202839,394.9594633
P005,POST,Punishment,-0.900235781,0.295487553,-1.422428009,-1.422428009,-0.900235781,-0.900235781,389.2142494,390.7448333
