Reward_Prob,Var1,Participant.ID,Trial_type,trial_number,Time
0.622459331,0.622459331,P016,1,1,PRE
0.546622206,0.61571622,P016,1,2,PRE
0.617202824,0.609769121,P016,1,3,PRE
0.541268122,0.620272286,P016,1,4,PRE
0.465888996,0.629386721,P016,1,5,PRE
0.394376553,0.637300499,P016,1,6,PRE
0.470461619,0.644176274,P016,1,7,PRE
0.398628368,0.650154343,P016,1,8,PRE
0.474746634,0.655355554,P016,1,9,PRE
0.549565744,0.659883959,P016,1,10,PRE
0.619915759,0.663829165,P016,1,11,PRE
0.683529551,0.652382119,P016,1,12,PRE
0.610235942,0.657294784,P016,1,13,PRE
0.674910817,0.661573136,P016,1,14,PRE
0.731745333,0.665301453,P016,1,15,PRE
0.66243842,0.653693744,P016,1,16,PRE
0.587964306,0.643366568,P016,1,17,PRE
0.511817402,0.634203693,P016,1,18,PRE
0.437579889,0.641485095,P016,1,19,PRE
0.513469945,0.647814024,P016,1,20,PRE
0.586345001,0.638147005,P016,1,21,PRE
0.510202363,0.629580798,P016,1,22,PRE
0.4360415,0.637469066,P016,1,23,PRE
0.511958327,0.644322784,P016,1,24,PRE
0.437714193,0.635051178,P016,1,25,PRE
0.513601844,0.626841311,P016,1,26,PRE
0.439281311,0.61958473,P016,1,27,PRE
0.369843721,0.628789926,P016,1,28,PRE
0.307396797,0.636782165,P016,1,29,PRE
0.253000055,0.643725779,P016,1,30,PRE
0.622459331,0.622459331,P016,1,1,PRE
0.546622206,0.61571622,P016,1,2,PRE
0.471088831,0.625432496,P016,1,3,PRE
0.546048743,0.633866565,P016,1,4,PRE
0.616673787,0.641192171,P016,1,5,PRE
0.540730285,0.632277217,P016,1,6,PRE
0.611759528,0.639811328,P016,1,7,PRE
0.53574315,0.631054295,P016,1,8,PRE
0.607138506,0.638748965,P016,1,9,PRE
0.53106811,0.630113679,P016,1,10,PRE
0.456028726,0.622475725,P016,1,11,PRE
0.531487817,0.615730687,P016,1,12,PRE
0.456433277,0.625445051,P016,1,13,PRE
0.531880671,0.618351741,P016,1,14,PRE
0.456812035,0.627719756,P016,1,15,PRE
0.385967816,0.635852749,P016,1,16,PRE
0.461952477,0.642918059,P016,1,17,PRE
0.390724729,0.649060083,P016,1,18,PRE
0.466771887,0.639252546,P016,1,19,PRE
0.5418882,0.630559522,P016,1,20,PRE
0.466490355,0.62286975,P016,1,21,PRE
0.394935113,0.631641529,P016,1,22,PRE
0.47102521,0.639259087,P016,1,23,PRE
0.399153158,0.630565314,P016,1,24,PRE
0.333488697,0.638324213,P016,1,25,PRE
0.27553919,0.64506607,P016,1,26,PRE
0.225824101,0.650928282,P016,1,27,PRE
0.18410611,0.65602919,P016,1,28,PRE
0.14967333,0.645441885,P016,1,29,PRE
0.20036295,0.651255187,P016,1,30,PRE
0.622459331,0.622459331,P016,1,1,PRE
0.685787514,0.61571622,P016,1,2,PRE
0.612639969,0.609769121,P016,1,3,PRE
0.677055162,0.60452957,P016,1,4,PRE
0.73360061,0.599917336,P016,1,5,PRE
0.78190639,0.595860158,P016,1,6,PRE
0.718820848,0.592293292,P016,1,7,PRE
0.769391191,0.605113878,P016,1,8,PRE
0.81191293,0.616233802,P016,1,9,PRE
0.847061183,0.625881659,P016,1,10,PRE
0.875761307,0.634256578,P016,1,11,PRE
0.899004558,0.641531048,P016,1,12,PRE
0.860385366,0.647853979,P016,1,13,PRE
0.886570776,0.653353696,P016,1,14,PRE
0.844577014,0.658140692,P016,1,15,PRE
0.792652999,0.647319256,P016,1,16,PRE
0.831203894,0.637708122,P016,1,17,PRE
0.776552568,0.644530563,P016,1,18,PRE
0.817868767,0.650462492,P016,1,19,PRE
0.851945129,0.640497197,P016,1,20,PRE
0.879727547,0.631661678,P016,1,21,PRE
0.835965424,0.639276591,P016,1,22,PRE
0.866731833,0.64589394,P016,1,23,PRE
0.891707722,0.636444079,P016,1,24,PRE
0.851082405,0.628073665,P016,1,25,PRE
0.879027281,0.620673249,P016,1,26,PRE
0.901640686,0.614140306,P016,1,27,PRE
0.919855321,0.624064968,P016,1,28,PRE
0.934494891,0.632679198,P016,1,29,PRE
0.90677217,0.640160556,P016,1,30,PRE
