Participant 18visit number -1
Stimuli number 1
Scanner Trigger at time 6000
run_number	trial_number	trial_type	outcome_type	side_type	left_stim	right_stim	stim_onset	choice_onset	interval_onset	outcome_onset	ITI_onset	button_pressed	side_chosen	trial_outcome	total	reaction_time	win_out	loss_out
1	1	2	1	0	C	H	1	16	4662	5697	7715	7	1	0	1	4645		0
1	2	1	1	1	A	D	8733	8748	11649	12682	14698	8	0	0	1	2900	0	
1	3	1	1	0	D	A	15716	15731	16487	17515	19531	7	1	0	1	755	0	
1	4	2	0	1	H	C	20549	20564	22995	24030	26047	8	0	-1	0.8	2431		0
1	5	2	1	1	H	C	27067	27080	32177	33214	35229	7	1	-1	0.6	5096		1
1	6	1	1	0	D	A	36249	36263	37610	38646	40662	7	1	0	0.6	1347	0	
1	7	1	1	1	A	D	41680	41695	43561	44597	46612	8	0	0	0.6	1865	0	
1	8	2	1	0	C	H	47630	47645	49021	50048	52061	7	1	0	0.6	1376		0
1	9	1	0	1	A	D	53079	53094	53920	54945	56961	8	0	1	0.8	825	0	
1	10	2	1	1	H	C	57979	57994	59413	60444	62460	8	0	0	0.8	1418		0
1	11	1	1	0	D	A	63478	63493	65589	66628	68643	7	1	0	0.8	2095	0	
1	12	2	0	0	C	H	69661	69676	71548	72577	74593	8	0	0	0.8	1871		1
1	13	2	1	1	H	C	75610	75626	76565	77593	79609	7	1	-1	0.6	939		1
1	14	1	0	0	D	A	80627	80642	81591	82626	84642	7	1	1	0.8	948	0	
1	15	1	1	1	A	D	85660	85675	86412	87443	89458	8	0	0	0.8	737	0	
1	16	2	1	0	C	H	90476	90491	91630	92658	94674	7	1	0	0.8	1139		0
1	17	1	0	1	A	D	95692	95707	96574	97608	99624	8	0	1	1	867	0	
1	18	2	1	1	H	C	100642	100657	102896	103924	105940	8	0	0	1	2239		0
1	19	1	1	0	D	A	106958	106973	108332	109357	111373	7	1	0	1	1358	0	
1	20	2	1	1	H	C	112391	112406	113690	114723	116739	8	0	0	1	1284		0
1	21	1	1	0	D	A	117757	117772	118386	119423	121439	7	1	0	1	614	0	
1	22	2	1	0	C	H	122457	122472	123364	124389	126405	7	1	0	1	892		0
1	23	1	0	1	A	D	127423	127438	128035	129071	131088	8	0	1	1.2	597	0	
1	24	1	1	1	A	D	132107	132121	133289	134321	136337	8	0	0	1.2	1167	0	
1	25	2	0	0	C	H	137355	137370	138784	139820	141837	7	1	-1	1	1413		0
1	26	2	1	1	H	C	142855	142870	143509	144537	146553	8	0	0	1	639		0
1	27	1	1	0	D	A	147571	147586	148336	149370	151386	7	1	0	1	749	0	
1	28	2	1	0	C	H	152404	152419	153210	154237	156252	7	1	0	1	790		0
1	29	1	1	1	A	D	157270	157285	158220	159253	161268	8	0	0	1	934	0	
1	30	2	0	1	H	C	162286	162302	163029	164051	166068	8	0	-1	0.8	727		0
1	31	1	1	0	D	A	167086	167101	170107	171135	173151	7	1	0	0.8	3005	0	
1	32	1	0	0	D	A	174170	174184	175158	176184	178200	7	1	1	1	974	0	
1	33	2	1	1	H	C	179218	179233	180888	181917	183933	8	0	0	1	1655		0
1	34	2	0	0	C	H	184951	184966	187482	188516	190533	7	1	-1	0.8	2515		0
1	35	1	1	1	A	D	191550	191566	192733	193767	195782	8	0	0	0.8	1167	0	
1	36	2	1	1	H	C	196800	196815	198131	199166	201182	8	0	0	0.8	1315		0
1	37	1	0	0	D	A	202200	202215	203391	204414	206431	7	1	1	1	1175	0	
1	38	2	1	0	C	H	207449	207464	208654	209681	211697	7	1	0	1	1189		0
1	39	1	1	1	A	D	212715	212730	215154	216181	218197	8	0	0	1	2423	0	
1	40	2	1	0	C	H	219215	219230	220212	221248	223263	7	1	0	1	981		0
1	41	2	0	1	H	C	224281	224296	225318	226347	228363	8	0	-1	0.8	1021		0
1	42	1	1	0	D	A	229380	229395	231191	232212	234229	8	0	1	1	1795	1	
1	43	2	1	0	C	H	235247	235262	236291	237329	239345	7	1	0	1	1029		0
1	44	1	0	1	A	D	240363	240378	241599	242629	244645	7	1	0	1	1220	1	
1	45	1	1	1	A	D	245664	245678	246624	247662	249677	7	1	1	1.2	946	1	
1	46	2	1	0	C	H	250695	250710	252006	253044	255060	7	1	0	1.2	1295		0
1	47	1	1	0	D	A	256078	256093	256890	257928	259943	8	0	1	1.4	796	1	
1	48	1	1	1	A	D	260961	260976	261706	262744	264759	7	1	1	1.6	729	1	
1	49	2	0	1	H	C	265777	265792	266658	267693	269709	8	0	-1	1.4	865		0
1	50	2	1	0	C	H	270727	270742	271327	272360	274375	7	1	0	1.4	584		0
1	51	1	1	0	D	A	275393	275408	276385	277409	279425	8	0	1	1.6	976	1	
1	52	1	0	1	A	D	280443	280458	281024	282059	284074	7	1	0	1.6	566	1	
1	53	2	1	1	H	C	285092	285107	286217	287242	289257	8	0	0	1.6	1109		0
1	54	2	1	1	H	C	290277	290290	291172	292208	294224	8	0	0	1.6	881		0
1	55	1	1	0	D	A	295241	295257	297481	298507	300523	8	0	1	1.8	2224	1	
1	56	2	1	0	C	H	301541	301556	302233	303257	305273	7	1	0	1.8	676		0
1	57	2	0	1	H	C	306291	306306	307646	308673	310689	8	0	-1	1.6	1340		0
1	58	1	0	0	D	A	311707	311722	312967	313989	316005	8	0	0	1.6	1245	1	
1	59	1	1	1	A	D	317023	317038	317797	318822	320838	7	1	1	1.8	758	1	
1	60	2	0	0	C	H	321856	321871	322655	323688	325704	7	1	-1	1.6	783		0
2	1	1	1	0	X	K	329207	329220	334037	335070	337086	7	1	0	1	4816	0	
2	2	2	1	1	P	N	338105	338120	341835	342869	344886	7	1	-1	0.8	3715		1
2	3	2	1	0	N	P	345904	345919	349074	350103	352118	8	0	-1	0.6	3154		1
2	4	1	0	1	K	X	353136	353152	354178	355202	357218	8	0	1	0.8	1026	0	
2	5	1	1	1	K	X	358237	358251	359196	360218	362234	8	0	0	0.8	945	0	
2	6	2	1	0	N	P	363252	363267	364273	365302	367317	7	1	0	0.8	1005		0
2	7	2	1	1	P	N	368335	368350	369871	370901	372917	8	0	0	0.8	1521		0
2	8	1	1	0	X	K	373934	373950	374696	375735	377750	7	1	0	0.8	746	0	
2	9	2	0	1	P	N	378767	378783	379647	380683	382699	8	0	-1	0.6	864		0
2	10	1	1	1	K	X	383717	383732	384406	385433	387449	8	0	0	0.6	673	0	
2	11	2	1	0	N	P	388467	388482	389699	390733	392748	7	1	0	0.6	1217		0
2	12	1	0	0	X	K	393766	393781	394526	395549	397565	7	1	1	0.8	744	0	
2	13	1	1	1	K	X	398582	398598	399334	400365	402381	8	0	0	0.8	736	0	
2	14	2	0	0	N	P	403399	403414	404395	405431	407447	7	1	-1	0.6	980		0
2	15	2	1	1	P	N	408465	408480	426571	427596	429612	8	0	0	0.6	18091		0
2	16	1	1	0	X	K	430630	430645	436015	437046	439061	7	1	0	0.6	5370	0	
2	17	2	0	1	P	N	440079	440094	440696	441728	443744	8	0	-1	0.4	602		0
2	18	1	1	1	K	X	444762	444777	445492	446527	448543	8	0	0	0.4	714	0	
2	19	2	1	0	N	P	449561	449576	450336	451361	453376	7	1	0	0.4	759		0
2	20	1	1	1	K	X	454394	454409	454990	456030	458043	8	0	0	0.4	580	0	
2	21	2	1	0	N	P	459060	459076	459915	460943	462959	7	1	0	0.4	839		0
